token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP050	0	buon	buon	linguistic	none	_	Begin=2.31	_	_	_	_
0-1	PKP050	0	appetito	appetito	linguistic	none	_	End=3.22	_	_	_	_
1-0	PKP051	1	buon	buon	linguistic	none	_	Begin=3.22	_	_	_	_
1-1	PKP051	1	appetito	appetito	linguistic	none	_	End=4.457	_	_	_	_
2-0	PKP050	2	((canticchia)	((canticchia	nonverbalbehavior	none	_	Begin=17.01|End=18.297	_	_	_	_
3-0	PKP051	3	secondo	secondo	linguistic	none	_	Begin=22.78	_	_	_	_
3-1	PKP051	3	me	me	linguistic	none	_	End=23.428	_	_	_	_
4-0	PKP050	4	#secondo	secondo	linguistic	some	_	Begin=24.53	_	_	_	_
4-1	PKP050	4	me:	me	linguistic	some	_	_	1x1	_	_	_
4-2	PKP050	4	quiddru	quiddru	linguistic	some	_	_	_	_	_	_
4-3	PKP050	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-4	PKP050	4	è	è	linguistic	some	_	_	_	_	_	_
4-5	PKP050	4	proprio	proprio	linguistic	some	_	_	_	_	_	_
4-6	PKP050	4	un	un	linguistic	some	_	_	_	_	_	_
4-7	PKP050	4	'esplosione	'esplosione	linguistic	some	Truncated=Yes	_	_	_	_	_
4-8	PKP050	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-9	PKP050	4	è	è	linguistic	some	_	_	_	_	_	_
4-10	PKP050	4	popo	popo	linguistic	some	_	_	_	_	_	_
4-11	PKP050	4	bueno	bueno	linguistic	some	_	End=28.817	_	_	_	_
5-0	PKP049	5	non	non	linguistic	none	_	Begin=28.88	_	_	_	_
5-1	PKP049	5	ti	ti	linguistic	none	_	_	_	_	_	_
5-2	PKP049	5	stare	stare	linguistic	none	_	_	_	_	_	_
5-3	PKP049	5	a	a	linguistic	none	_	_	_	_	_	_
5-4	PKP049	5	lamentare	lamentare	linguistic	none	_	_	_	_	_	_
5-5	PKP049	5	poi	poi	linguistic	none	_	_	_	_	_	_
5-6	PKP049	5	alla	alla	linguistic	none	_	_	_	_	_	_
5-7	PKP049	5	sera::	sera	linguistic	none	_	_	3x2	_	_	_
5-8	PKP049	5	quando	quando	linguistic	none	_	_	_	_	_	_
5-9	PKP049	5	te	te	linguistic	none	_	_	_	_	_	_
5-10	PKP049	5	faccio	faccio	linguistic	none	_	_	_	_	_	_
5-11	PKP049	5	un	un	linguistic	none	_	_	_	_	_	_
5-12	PKP049	5	solo	solo	linguistic	none	_	_	_	_	_	_
5-13	PKP049	5	hamburger	hamburger	linguistic	none	_	End=32.35	_	_	_	_
