token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP096	0	pino	pino	linguistic	none	_	Begin=0.26	_	_	_	_
0-1	PKP096	0	ma	ma	linguistic	none	_	_	_	_	_	_
0-2	PKP096	0	ti	ti	linguistic	none	_	_	_	_	_	_
0-3	PKP096	0	pesa	pesa	linguistic	none	_	_	_	_	_	_
0-4	PKP096	0	tanto	tanto	linguistic	none	_	_	_	_	_	_
0-5	PKP096	0	chiedere	chiedere	linguistic	none	_	_	_	_	_	_
0-6	PKP096	0	al	al	linguistic	none	_	_	_	_	_	_
0-7	PKP096	0	macellaio	macellaio	linguistic	none	_	_	_	_	_	_
0-8	PKP096	0	di	di	linguistic	none	_	_	_	_	_	_
0-9	PKP096	0	fare	fare	linguistic	none	_	_	_	_	_	_
0-10	PKP096	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-11	PKP096	0	ste	ste	linguistic	none	_	_	_	_	_	_
0-12	PKP096	0	fettine	fettine	linguistic	none	_	_	_	_	_	_
0-13	PKP096	0	un	un	linguistic	none	_	_	_	_	_	_
0-14	PKP096	0	po'	po'	linguistic	none	_	_	_	_	_	_
0-15	PKP096	0	più	più	linguistic	none	_	_	_	_	_	_
0-16	PKP096	0	sottili,	sottili	linguistic	none	Intonation=WeaklyRising	End=5.259	_	_	_	_
1-0	PKP097	1	>SI<	si	linguistic	none	Volume=High	Begin=5.259|End=6.073	_	Fast=0-2	_	_
2-0	PKP096	2	a::::::::h	ah	linguistic	none	_	Begin=6.073|End=6.724	0x8	_	_	_
3-0	PKP095	3	>allor<	allor	linguistic	none	_	Begin=7.0	_	Fast=0-5	_	_
3-1	PKP095	3	ade(sso)	adesso	linguistic	none	_	_	_	_	3-6(0)	_
3-2	PKP095	3	i~	i~	linguistic	none	Interrupted=Yes	_	_	_	_	_
3-3	PKP095	3	>quand<	quand	linguistic	none	_	_	_	Fast=0-5	_	_
3-4	PKP095	3	io	io	linguistic	none	_	_	_	_	_	_
3-5	PKP095	3	>qua<	qua	linguistic	none	_	_	_	Fast=0-3	_	_
3-6	PKP095	3	telefono,	telefono	linguistic	none	Intonation=WeaklyRising	End=9.224	_	_	_	_
4-0	PKP096	4	m::::::::::h	mh	linguistic	none	_	Begin=9.229|End=10.318	0x10	_	_	_
5-0	PKP095	5	e	e	linguistic	none	_	Begin=10.328	_	_	_	_
5-1	PKP095	5	dico	dico	linguistic	none	_	_	_	_	_	_
5-2	PKP095	5	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
5-3	PKP095	5	telegraficamente	telegraficamente	linguistic	none	_	_	_	_	_	_
5-4	PKP095	5	preparami	preparami	linguistic	none	_	_	_	_	_	_
5-5	PKP095	5	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
5-6	PKP095	5	le	le	linguistic	none	_	_	_	_	_	_
5-7	PKP095	5	le	le	linguistic	none	_	_	_	_	_	_
5-8	PKP095	5	le~	le~	linguistic	none	Interrupted=Yes	_	_	_	_	_
5-9	PKP095	5	[le	le	linguistic	none	_	_	_	_	_	0-2(0)
5-10	PKP095	5	le	le	linguistic	none	_	_	_	_	_	0-2(0)
5-11	PKP095	5	cotolette]	cotolette	linguistic	none	_	End=14.541	_	_	_	0-9(0)
6-0	PKP096	6	[e	e	linguistic	none	_	Begin=13.143	_	_	_	0-1(0)
6-1	PKP096	6	fai	fai	linguistic	none	_	_	_	_	_	0-3(0)
6-2	PKP096	6	male]	male	linguistic	none	_	_	_	_	_	0-4(0)
6-3	PKP096	6	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
6-4	PKP096	6	perché	perché	linguistic	none	_	_	_	_	_	_
6-5	PKP096	6	devi	devi	linguistic	none	_	_	_	_	_	_
6-6	PKP096	6	essere	essere	linguistic	none	_	_	_	_	_	_
6-7	PKP096	6	dettagliato.	dettagliato	linguistic	none	Intonation=Falling	End=16.536	_	_	_	_
7-0	PKP095	7	non	non	linguistic	none	_	Begin=17.501	_	_	_	_
7-1	PKP095	7	posso	posso	linguistic	none	_	_	_	_	_	_
7-2	PKP095	7	essere	essere	linguistic	none	_	_	_	_	_	_
7-3	PKP095	7	dettagliato	dettagliato	linguistic	none	_	_	_	_	_	_
7-4	PKP095	7	perché	perché	linguistic	none	_	_	_	_	_	_
7-5	PKP095	7	quello	quello	linguistic	none	_	_	_	_	_	_
7-6	PKP095	7	li'	li'	linguistic	none	Truncated=Yes	_	_	_	_	_
7-7	PKP095	7	dice	dice	linguistic	none	_	_	_	_	_	_
7-8	PKP095	7	che	che	linguistic	none	_	_	_	_	_	_
7-9	PKP095	7	ha	ha	linguistic	none	_	_	_	_	_	_
7-10	PKP095	7	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
7-11	PKP095	7	ha	ha	linguistic	none	_	_	_	_	_	_
7-12	PKP095	7	ha	ha	linguistic	none	_	_	_	_	_	_
7-13	PKP095	7	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
7-14	PKP095	7	le	le	linguistic	none	_	_	_	_	_	_
7-15	PKP095	7	persone	persone	linguistic	none	_	_	_	_	_	_
7-16	PKP095	7	al	al	linguistic	none	_	_	_	_	_	_
7-17	PKP095	7	banco	banco	linguistic	none	_	_	_	_	_	_
7-18	PKP095	7	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
7-19	PKP095	7	e	e	linguistic	none	_	_	_	_	_	_
7-20	PKP095	7	[quindi	quindi	linguistic	none	_	_	_	_	_	0-6(1)
7-21	PKP095	7	non	non	linguistic	none	_	_	_	_	_	0-3(1)
7-22	PKP095	7	mi	mi	linguistic	none	_	_	_	_	_	0-2(1)
7-23	PKP095	7	può	può	linguistic	none	_	_	_	_	_	0-3(1)
7-24	PKP095	7	servire	servire	linguistic	none	_	_	_	_	_	0-7(1)
7-25	PKP095	7	piu'	piu'	linguistic	none	Truncated=Yes	_	_	_	_	0-4(1)
7-26	PKP095	7	di	di	linguistic	none	_	_	_	_	_	0-2(1)
7-27	PKP095	7	tanto].	tanto	linguistic	none	Intonation=Falling	End=25.01	_	_	_	0-5(1)
8-0	PKP096	8	[e::h	eh	linguistic	none	_	Begin=23.95	0x2	_	_	0-2(1)
8-1	PKP096	8	e::h	eh	linguistic	none	_	_	0x2	_	_	0-2(1)
8-2	PKP096	8	e::h]	eh	linguistic	none	_	End=25.825	0x2	_	_	0-2(1)
9-0	PKP095	9	[eh]	eh	linguistic	none	_	Begin=26.001|End=26.889	_	_	_	0-2(?)
10-0	PKP095	10	quindi	quindi	linguistic	none	_	Begin=27.788	_	_	_	_
10-1	PKP095	10	>io<	io	linguistic	none	_	_	_	Fast=0-2	_	_
10-2	PKP095	10	sono	sono	linguistic	none	_	_	_	_	_	_
10-3	PKP095	10	costretto	costretto	linguistic	none	_	_	_	_	_	_
10-4	PKP095	10	ad	ad	linguistic	none	_	_	_	_	_	_
10-5	PKP095	10	essere::	essere	linguistic	none	_	_	5x2	_	_	_
10-6	PKP095	10	t	t	linguistic	none	_	_	_	_	_	_
10-7	PKP095	10	telegrafico	telegrafico	linguistic	none	_	End=31.188	_	_	_	_
11-0	PKP096	11	dove	dove	linguistic	none	_	Begin=39.293	_	_	_	_
11-1	PKP096	11	qui?	qui	linguistic	none	Intonation=Rising	End=39.81	_	_	_	_
12-0	PKP095	12	in	in	linguistic	none	_	Begin=40.293	_	_	_	_
12-1	PKP095	12	francia	francia	linguistic	none	_	End=40.963	_	_	_	_
13-0	PKP096	13	finalmente	finalmente	linguistic	none	_	Begin=41.851	_	_	_	_
13-1	PKP096	13	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
13-2	PKP096	13	hanno	hanno	linguistic	none	_	_	_	_	_	_
13-3	PKP096	13	capito	capito	linguistic	none	_	_	_	_	_	_
13-4	PKP096	13	in	in	linguistic	none	_	_	_	_	_	_
13-5	PKP096	13	francia.	francia	linguistic	none	Intonation=Falling	End=43.906	_	_	_	_
14-0	PKP096	14	mannaggia	mannaggia	linguistic	none	_	Begin=45.426	_	_	_	_
14-1	PKP096	14	a	a	linguistic	none	_	_	_	_	_	_
14-2	PKP096	14	sti	sti	linguistic	none	_	_	_	_	_	_
14-3	PKP096	14	ristoranti,	ristoranti	linguistic	none	Intonation=WeaklyRising	End=47.006	_	_	_	_
15-0	PKP096	15	rossi	rossi	linguistic	none	_	Begin=57.241	_	_	_	_
15-1	PKP096	15	insegnava	insegnava	linguistic	none	_	_	_	_	_	_
15-2	PKP096	15	a	a	linguistic	none	_	_	_	_	_	_
15-3	PKP096	15	fare	fare	linguistic	none	_	_	_	_	_	_
15-4	PKP096	15	i::::	i	linguistic	none	_	_	0x4	_	_	_
15-5	PKP096	15	i:::	i	linguistic	none	_	_	0x3	_	_	_
15-6	PKP096	15	mh:	mh	linguistic	none	_	_	1x1	_	_	_
15-7	PKP096	15	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
15-8	PKP096	15	i	i	linguistic	none	_	_	_	_	_	_
15-9	PKP096	15	tarallini:	tarallini	linguistic	none	_	_	8x1	_	_	_
15-10	PKP096	15	col	col	linguistic	none	_	_	_	_	_	_
15-11	PKP096	15	vino	vino	linguistic	none	_	_	_	_	_	_
15-12	PKP096	15	in	in	linguistic	none	_	_	_	_	_	_
15-13	PKP096	15	casa	casa	linguistic	none	_	End=63.611	_	_	_	_
16-0	PKP095	16	mo	mo	linguistic	none	_	Begin=63.957	_	_	_	_
16-1	PKP095	16	si	si	linguistic	none	_	_	_	_	_	_
16-2	PKP095	16	è	è	linguistic	none	_	_	_	_	_	_
16-3	PKP095	16	dimesso	dimesso	linguistic	none	_	_	_	_	_	_
16-4	PKP095	16	ros~	ros~	linguistic	none	Interrupted=Yes	End=64.985	_	_	_	_
17-0	PKP096	17	insegnava	insegnava	linguistic	none	_	Begin=65.036	_	_	_	_
17-1	PKP096	17	alle	alle	linguistic	none	_	_	_	_	_	_
17-2	PKP096	17	massaie	massaie	linguistic	none	_	End=66.316	_	_	_	_
18-0	PKP097	18	mo	mo	linguistic	none	_	Begin=66.584	_	_	_	_
18-1	PKP097	18	è	è	linguistic	none	_	_	_	_	_	_
18-2	PKP097	18	c	c	linguistic	none	_	_	_	_	_	_
18-3	PKP097	18	è	è	linguistic	none	_	_	_	_	_	_
18-4	PKP097	18	[consigliere	consigliere	linguistic	none	_	_	_	_	_	0-11(2)
18-5	PKP097	18	regionale	regionale	linguistic	none	_	_	_	_	_	0-9(2)
18-6	PKP097	18	mi	mi	linguistic	none	_	_	_	_	_	0-2(2)
18-7	PKP097	18	sa]	sa	linguistic	none	_	End=69.461	_	_	_	0-2(2)
19-0	PKP095	19	[si	si	linguistic	none	_	Begin=67.122	_	_	_	0-2(2)
19-1	PKP095	19	è	è	linguistic	none	_	_	_	_	_	0-1(2)
19-2	PKP095	19	dimesso	dimesso	linguistic	none	_	_	_	_	_	0-7(2)
19-3	PKP095	19	rossi],	rossi	linguistic	none	Intonation=WeaklyRising	End=68.397	_	_	_	0-5(2)
20-0	PKP095	20	è	è	linguistic	none	_	Begin=70.51	_	_	_	_
20-1	PKP095	20	stato	stato	linguistic	none	_	_	_	_	_	_
20-2	PKP095	20	eletto	eletto	linguistic	none	_	_	_	_	_	_
20-3	PKP095	20	consigliere	consigliere	linguistic	none	_	_	_	_	_	_
20-4	PKP095	20	region[ale]?	regionale	linguistic	none	Intonation=Rising	End=71.801	_	_	_	6-9(?)
21-0	PKP097	21	mi	mi	linguistic	none	_	Begin=72.006	_	_	_	_
21-1	PKP097	21	sa	sa	linguistic	none	_	_	_	_	_	_
21-2	PKP097	21	che	che	linguistic	none	_	_	_	_	_	_
21-3	PKP097	21	è	è	linguistic	none	_	_	_	_	_	_
21-4	PKP097	21	uscito	uscito	linguistic	none	_	End=72.38	_	_	_	_
22-0	PKP096	22	sì	sì	linguistic	none	_	Begin=72.57	_	_	_	_
22-1	PKP096	22	sì	sì	linguistic	none	_	End=73.279	_	_	_	_
23-0	PKP095	23	e	e	linguistic	none	_	Begin=79.006	_	_	_	_
23-1	PKP095	23	scusa	scusa	linguistic	none	_	_	_	_	_	_
23-2	PKP095	23	e	e	linguistic	none	_	_	_	_	_	_
23-3	PKP095	23	adesso	adesso	linguistic	none	_	_	_	_	_	_
23-4	PKP095	23	chi	chi	linguistic	none	_	_	_	_	_	_
23-5	PKP095	23	chi	chi	linguistic	none	_	_	_	_	_	_
23-6	PKP095	23	farà	farà	linguistic	none	_	_	_	_	_	_
23-7	PKP095	23	i	i	linguistic	none	_	_	_	_	_	_
23-8	PKP095	23	tarallini,	tarallini	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
23-9	PKP095	23	più	più	linguistic	none	_	_	_	_	_	_
23-10	PKP095	23	non	non	linguistic	none	_	_	_	_	_	_
23-11	PKP095	23	li	li	linguistic	none	_	_	_	_	_	_
23-12	PKP095	23	farà	farà	linguistic	none	_	_	_	_	_	_
23-13	PKP095	23	più	più	linguistic	none	_	_	_	_	_	_
23-14	PKP095	23	nessuno	nessuno	linguistic	none	_	_	_	_	_	_
23-15	PKP095	23	in	in	linguistic	none	_	_	_	_	_	_
23-16	PKP095	23	casa	casa	linguistic	none	_	End=82.361	_	_	_	_
24-0	PKP097	24	no	no	linguistic	none	_	Begin=82.424	_	_	_	_
24-1	PKP097	24	ma	ma	linguistic	none	_	_	_	_	_	_
24-2	PKP097	24	tanto	tanto	linguistic	none	_	_	_	_	_	_
24-3	PKP097	24	il	il	linguistic	none	_	_	_	_	_	_
24-4	PKP097	24	lavoro	lavoro	linguistic	none	_	_	_	_	_	_
24-5	PKP097	24	è	è	linguistic	none	_	_	_	_	_	_
24-6	PKP097	24	lo	lo	linguistic	none	_	_	_	_	_	_
24-7	PKP097	24	stesso	stesso	linguistic	none	_	_	_	_	_	_
24-8	PKP097	24	più	più	linguistic	none	_	_	_	_	_	_
24-9	PKP097	24	o	o	linguistic	none	_	_	_	_	_	_
24-10	PKP097	24	meno	meno	linguistic	none	_	_	_	_	_	_
24-11	PKP097	24	xxx	x	unknown	none	_	_	_	_	_	_
24-12	PKP097	24	ha	ha	linguistic	none	_	_	_	_	_	_
24-13	PKP097	24	molto	molto	linguistic	none	_	_	_	_	_	_
24-14	PKP097	24	tempo	tempo	linguistic	none	_	_	_	_	_	_
24-15	PKP097	24	libero	libero	linguistic	none	_	_	_	_	_	_
24-16	PKP097	24	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
