token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP125	0	vai	vai	linguistic	none	_	Begin=2.63	_	_	_	_
0-1	PKP125	0	ja	ja	linguistic	none	_	_	_	_	_	_
0-2	PKP125	0	e	e	linguistic	none	_	_	_	_	_	_
0-3	PKP125	0	come	come	linguistic	none	_	_	_	_	_	_
0-4	PKP125	0	andata	andata	linguistic	none	_	_	_	_	_	_
0-5	PKP125	0	questa	questa	linguistic	none	_	_	_	_	_	_
0-6	PKP125	0	vacanza	vacanza	linguistic	none	_	_	_	_	_	_
0-7	PKP125	0	all'	all'	linguistic	none	SpaceAfter=No	_	_	_	_	_
0-8	PKP125	0	eden?	eden	linguistic	none	Intonation=Rising	End=5.33	_	_	_	_
1-0	PKP132	1	benissimo	benissimo	linguistic	none	_	Begin=6.16|End=7.12	_	_	_	_
2-0	PKP132	2	cinque	cinque	linguistic	none	_	Begin=7.89	_	_	_	_
2-1	PKP132	2	giorni	giorni	linguistic	none	_	_	_	_	_	_
2-2	PKP132	2	proprio	proprio	linguistic	none	_	_	_	_	_	_
2-3	PKP132	2	di	di	linguistic	none	_	_	_	_	_	_
2-4	PKP132	2	pace	pace	linguistic	none	_	_	_	_	_	_
2-5	PKP132	2	e	e	linguistic	none	_	_	_	_	_	_
2-6	PKP132	2	tranquillità	tranquillità	linguistic	none	_	_	_	_	_	_
2-7	PKP132	2	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
2-8	PKP132	2	e	e	linguistic	none	_	_	_	_	_	_
2-9	PKP132	2	un	un	linguistic	none	_	_	_	_	_	_
2-10	PKP132	2	passo	passo	linguistic	none	_	_	_	_	_	_
2-11	PKP132	2	dal	dal	linguistic	none	_	_	_	_	_	_
2-12	PKP132	2	mare	mare	linguistic	none	_	End=11.72	_	_	_	_
3-0	PKP125	3	mh	mh	linguistic	none	_	Begin=12.39|End=12.63	_	_	_	_
4-0	PKP125	4	e	e	linguistic	none	_	Begin=14.275	_	_	_	_
4-1	PKP125	4	come	come	linguistic	none	_	_	_	_	_	_
4-2	PKP125	4	si	si	linguistic	none	_	_	_	_	_	_
4-3	PKP125	4	mangiava?	mangiava	linguistic	none	Intonation=Rising	End=15.225	_	_	_	_
5-0	PKP132	5	buoni~	buoni~	linguistic	none	Interrupted=Yes	Begin=15.895	_	_	_	_
5-1	PKP132	5	buono	buono	linguistic	none	_	_	_	_	_	_
5-2	PKP132	5	da	da	linguistic	none	_	_	_	_	_	_
5-3	PKP132	5	chef	chef	linguistic	none	_	_	_	_	_	_
5-4	PKP132	5	da	da	linguistic	none	_	_	_	_	_	_
5-5	PKP132	5	gourmet	gourmet	linguistic	none	_	End=18.405	_	_	_	_
6-0	PKP132	6	quei	quei	linguistic	none	_	Begin=18.905	_	_	_	_
6-1	PKP132	6	pranzi	pranzi	linguistic	none	_	_	_	_	_	_
6-2	PKP132	6	da	da	linguistic	none	_	_	_	_	_	_
6-3	PKP132	6	gourmet	gourmet	linguistic	none	_	_	_	_	_	_
6-4	PKP132	6	proprio	proprio	linguistic	none	_	End=20.375	_	_	_	_
7-0	PKP132	7	sia	sia	linguistic	none	_	Begin=23.74	_	_	_	_
7-1	PKP132	7	nella	nella	linguistic	none	_	_	_	_	_	_
7-2	PKP132	7	preparazione	preparazione	linguistic	none	_	_	_	_	_	_
7-3	PKP132	7	sia	sia	linguistic	none	_	_	_	_	_	_
7-4	PKP132	7	nella	nella	linguistic	none	_	_	_	_	_	_
7-5	PKP132	7	qualità	qualità	linguistic	none	_	End=26.23	_	_	_	_
8-0	PKP132	8	tutto	tutto	linguistic	none	_	Begin=26.51	_	_	_	_
8-1	PKP132	8	buonissimo	buonissimo	linguistic	none	_	End=27.745	_	_	_	_
9-0	PKP125	9	ma	ma	linguistic	none	_	Begin=29.53	_	_	_	_
9-1	PKP125	9	che	che	linguistic	none	_	_	_	_	_	_
9-2	PKP125	9	mangiavate	mangiavate	linguistic	none	_	_	_	_	_	_
9-3	PKP125	9	a	a	linguistic	none	_	_	_	_	_	_
9-4	PKP125	9	pranzo	pranzo	linguistic	none	_	_	_	_	_	_
