token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP001	0	buon	buon	linguistic	none	_	Begin=1.65	_	_	_	_
0-1	PKP001	0	appetito,	appetito	linguistic	none	Intonation=WeaklyRising	End=2.459	_	_	_	_
1-0	PKP004	1	buon	buon	linguistic	none	_	Begin=2.71	_	_	_	_
1-1	PKP004	1	[appetito]	appetito	linguistic	none	_	End=3.41	_	_	_	0-8(0)
2-0	PKP003	2	[buon]	buon	linguistic	none	_	Begin=3.24	_	_	_	0-4(0)
2-1	PKP003	2	appetito	appetito	linguistic	none	_	End=4.11	_	_	_	_
3-0	PKP004	3	da	da	linguistic	none	_	Begin=8.67	_	_	_	_
3-1	PKP004	3	quanto	quanto	linguistic	none	_	_	_	_	_	_
3-2	PKP004	3	tempo	tempo	linguistic	none	_	_	_	_	_	_
3-3	PKP004	3	non	non	linguistic	none	_	_	_	_	_	_
3-4	PKP004	3	facevo	facevo	linguistic	none	_	_	_	_	_	_
3-5	PKP004	3	questa	questa	linguistic	none	_	_	_	_	_	_
3-6	PKP004	3	pasta	pasta	linguistic	none	_	End=10.677	_	_	_	_
4-0	PKP001	4	è	è	linguistic	none	_	Begin=10.977	_	_	_	_
4-1	PKP001	4	vero,	vero	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
4-2	PKP001	4	a	a	linguistic	none	_	_	_	_	_	_
4-3	PKP001	4	me	me	linguistic	none	_	_	_	_	_	_
4-4	PKP001	4	piace	piace	linguistic	none	_	_	_	_	_	_
4-5	PKP001	4	un	un	linguistic	none	_	_	_	_	_	_
4-6	PKP001	4	sacco	sacco	linguistic	none	_	_	_	_	_	_
4-7	PKP001	4	tra	tra	linguistic	none	_	_	_	_	_	_
4-8	PKP001	4	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
4-9	PKP001	4	altro	altro	linguistic	none	_	_	_	_	_	_
4-10	PKP001	4	questa	questa	linguistic	none	_	End=13.072	_	_	_	_
5-0	PKP004	5	>ci	ci	linguistic	none	_	Begin=14.019	_	Fast=0-2	_	_
5-1	PKP004	5	ho	ho	linguistic	none	_	_	_	Fast=0-2	_	_
5-2	PKP004	5	messo<	messo	linguistic	none	_	_	_	Fast=0-5	_	_
5-3	PKP004	5	anche	anche	linguistic	none	_	_	_	_	_	_
5-4	PKP004	5	i	i	linguistic	none	_	_	_	_	_	_
5-5	PKP004	5	pezzetti	pezzetti	linguistic	none	_	_	_	_	_	_
5-6	PKP004	5	di	di	linguistic	none	_	_	_	_	_	_
5-7	PKP004	5	pancetta	pancetta	linguistic	none	_	End=16.181	_	_	_	_
6-0	PKP001	6	buona	buona	linguistic	none	_	Begin=16.995	_	_	_	_
6-1	PKP001	6	ci	ci	linguistic	none	_	_	_	_	_	_
6-2	PKP001	6	sta,	sta	linguistic	none	Intonation=WeaklyRising	End=17.75	_	_	_	_
7-0	PKP004	7	gigi	gigi	linguistic	none	_	Begin=19.236	_	_	_	_
7-1	PKP004	7	smettila:	smettila	linguistic	none	_	End=20.315	7x1	_	_	_
8-0	PKP001	8	>ora<	ora	linguistic	none	_	Begin=22.04	_	Fast=0-3	_	_
8-1	PKP001	8	metto	metto	linguistic	none	_	_	_	_	_	_
8-2	PKP001	8	un	un	linguistic	none	_	_	_	_	_	_
8-3	PKP001	8	po'	po'	linguistic	none	_	_	_	_	_	_
8-4	PKP001	8	di	di	linguistic	none	_	_	_	_	_	_
8-5	PKP001	8	formaggio,	formaggio	linguistic	none	Intonation=WeaklyRising	End=23.562	_	_	_	_
9-0	PKP003	9	>devi<	devi	linguistic	none	_	Begin=25.216	_	Fast=0-4	_	_
9-1	PKP003	9	tirarlo	tirarlo	linguistic	none	_	End=26.12	_	_	_	_
10-0	PKP001	10	ah	ah	linguistic	none	_	Begin=27.023	_	_	_	_
10-1	PKP001	10	okay,	okay	linguistic	none	Intonation=WeaklyRising	End=27.62	_	_	_	_
11-0	PKP003	11	gira	gira	linguistic	none	_	Begin=27.747|End=28.41	_	_	_	_
12-0	PKP001	12	gira	gira	linguistic	none	_	Begin=29.31|End=29.843	_	_	_	_
13-0	PKP004	13	altrimenti	altrimenti	linguistic	none	_	Begin=29.906	_	_	_	_
13-1	PKP004	13	ti	ti	linguistic	none	_	_	_	_	_	_
13-2	PKP004	13	cade	cade	linguistic	none	_	_	_	_	_	_
13-3	PKP004	13	tutto	tutto	linguistic	none	_	_	_	_	_	_
13-4	PKP004	13	[nel	nel	linguistic	none	_	_	_	_	_	0-3(1)
13-5	PKP004	13	piatto]	piatto	linguistic	none	_	End=32.116	_	_	_	0-6(1)
14-0	PKP003	14	[(come	come	linguistic	none	_	Begin=31.006	_	_	0-4(0)	0-4(1)
14-1	PKP003	14	mai)]	mai	linguistic	none	_	_	_	_	0-3(0)	0-3(1)
14-2	PKP003	14	di	di	linguistic	none	_	_	_	_	_	_
14-3	PKP003	14	più?	più	linguistic	none	Intonation=Rising	End=32.56	_	_	_	_
15-0	PKP003	15	>fai	fai	linguistic	none	_	Begin=33.86	_	Fast=0-3	_	_
