token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP105	0	ma	ma	linguistic	none	_	Begin=0.12	_	_	_	_
0-1	PKP105	0	sì	sì	linguistic	none	_	End=0.72	_	_	_	_
1-0	PKP104	1	chi	chi	linguistic	none	_	Begin=0.763	_	_	_	_
1-1	PKP104	1	è	è	linguistic	none	_	_	_	_	_	_
1-2	PKP104	1	anto~	anto~	linguistic	none	Interrupted=Yes	End=1.946	_	_	_	_
2-0	PKP105	2	il	il	linguistic	none	_	Begin=4.288	_	_	_	_
2-1	PKP105	2	compagno	compagno	linguistic	none	_	_	_	_	_	_
2-2	PKP105	2	di	di	linguistic	none	_	_	_	_	_	_
2-3	PKP105	2	giovanni	giovanni	linguistic	none	_	End=5.463	_	_	_	_
3-0	PKP104	3	a:h	ah	linguistic	none	_	Begin=5.613|End=6.223	0x1	_	_	_
4-0	PKP104	4	come	come	linguistic	none	_	Begin=7.15	_	_	_	_
4-1	PKP104	4	sta?	sta	linguistic	none	Intonation=Rising	End=7.775	_	_	_	_
5-0	PKP105	5	°male°	male	linguistic	none	Volume=Low	Begin=8.673|End=9.168	_	_	_	_
6-0	PKP105	6	diciamo	diciamo	linguistic	none	_	Begin=10.8	_	_	_	_
6-1	PKP105	6	che:	che	linguistic	none	_	_	2x1	_	_	_
6-2	PKP105	6	la	la	linguistic	none	_	_	_	_	_	_
6-3	PKP105	6	terapia	terapia	linguistic	none	_	_	_	_	_	_
6-4	PKP105	6	al	al	linguistic	none	_	_	_	_	_	_
6-5	PKP105	6	momento	momento	linguistic	none	_	_	_	_	_	_
6-6	PKP105	6	sta	sta	linguistic	none	_	_	_	_	_	_
6-7	PKP105	6	funzion°ando	funzionando	linguistic	none	Volume=Low	_	_	_	_	_
6-8	PKP105	6	però°	però	linguistic	none	Volume=Low	_	_	_	_	_
6-9	PKP105	6	io	io	linguistic	none	_	_	_	_	_	_
6-10	PKP105	6	non	non	linguistic	none	_	_	_	_	_	_
6-11	PKP105	6	so	so	linguistic	none	_	End=15.123	_	_	_	_
7-0	PKP105	7	speria:mo	speriamo	linguistic	none	_	Begin=15.685	5x1	_	_	_
7-1	PKP105	7	che	che	linguistic	none	_	End=16.615	_	_	_	_
8-0	PKP105	8	sia	sia	linguistic	none	_	Begin=17.6	_	_	_	_
8-1	PKP105	8	una	una	linguistic	none	_	_	_	_	_	_
8-2	PKP105	8	terapia	terapia	linguistic	none	_	_	_	_	_	_
