token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP063	0	comunque	comunque	linguistic	none	_	Begin=0.66	_	_	_	_
0-1	PKP063	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-2	PKP063	0	voi	voi	linguistic	none	_	_	_	_	_	_
0-3	PKP063	0	sapete	sapete	linguistic	none	_	_	_	_	_	_
0-4	PKP063	0	chi	chi	linguistic	none	_	_	_	_	_	_
0-5	PKP063	0	è	è	linguistic	none	_	_	_	_	_	_
0-6	PKP063	0	caterina	caterina	linguistic	none	_	_	_	_	_	_
0-7	PKP063	0	rossi	rossi	linguistic	none	_	End=4.069	_	_	_	_
1-0	PKP068	1	sì	sì	linguistic	none	_	Begin=4.6	_	_	_	_
1-1	PKP068	1	[sì]:	sì	linguistic	none	_	End=5.527	1x1	_	_	0-2(0)
2-0	PKP067	2	[sì]	sì	linguistic	none	_	Begin=4.94|End=5.306	_	_	_	0-2(0)
3-0	PKP063	3	eh	eh	linguistic	none	_	Begin=5.64	_	_	_	_
3-1	PKP063	3	ieri	ieri	linguistic	none	_	_	_	_	_	_
3-2	PKP063	3	mi	mi	linguistic	none	_	_	_	_	_	_
3-3	PKP063	3	manda	manda	linguistic	none	_	_	_	_	_	_
3-4	PKP063	3	un	un	linguistic	none	_	_	_	_	_	_
3-5	PKP063	3	messaggio	messaggio	linguistic	none	_	_	_	_	_	_
3-6	PKP063	3	vale	vale	linguistic	none	_	End=8.214	_	_	_	_
4-0	PKP067	4	e:h	eh	linguistic	none	_	Begin=8.214|End=8.792	0x1	_	_	_
5-0	PKP063	5	se	se	linguistic	none	_	Begin=8.792	_	_	_	_
5-1	PKP063	5	sposa	sposa	linguistic	none	_	End=9.744	_	_	_	_
6-0	PKP067	6	se	se	linguistic	none	_	Begin=9.778	_	_	_	_
6-1	PKP067	6	sposa:,	sposa	linguistic	none	Intonation=WeaklyRising	End=10.803	4x1	_	_	_
7-0	PKP068	7	cazz~	cazz~	linguistic	none	Interrupted=Yes	Begin=10.825	_	_	_	_
7-1	PKP068	7	e	e	linguistic	none	_	_	_	_	_	_
7-2	PKP068	7	poi	poi	linguistic	none	_	_	_	_	_	_
7-3	PKP068	7	non	non	linguistic	none	_	_	_	_	_	_
7-4	PKP068	7	è	è	linguistic	none	_	_	_	_	_	_
7-5	PKP068	7	cioè	cioè	linguistic	none	_	_	_	_	_	_
7-6	PKP068	7	non	non	linguistic	none	_	_	_	_	_	_
7-7	PKP068	7	stava	stava	linguistic	none	_	_	_	_	_	_
7-8	PKP068	7	co~	co~	linguistic	none	Interrupted=Yes	_	_	_	_	_
7-9	PKP068	7	uno	uno	linguistic	none	_	_	_	_	_	_
7-10	PKP068	7	da	da	linguistic	none	_	_	_	_	_	_
7-11	PKP068	7	pochissimo?	pochissimo	linguistic	none	Intonation=Rising	End=13.849	_	_	_	_
8-0	PKP063	8	ma	ma	linguistic	none	_	Begin=14.21	_	_	_	_
8-1	PKP063	8	vale	vale	linguistic	none	_	_	_	_	_	_
8-2	PKP063	8	m'	m'	linguistic	none	SpaceAfter=No	_	_	_	_	_
8-3	PKP063	8	ha	ha	linguistic	none	_	_	_	_	_	_
8-4	PKP063	8	detto	detto	linguistic	none	_	_	_	_	_	_
8-5	PKP063	8	che	che	linguistic	none	_	_	_	_	_	_
8-6	PKP063	8	sta	sta	linguistic	none	_	_	_	_	_	_
8-7	PKP063	8	con	con	linguistic	none	_	_	_	_	_	_
8-8	PKP063	8	questo	questo	linguistic	none	_	_	_	_	_	_
8-9	PKP063	8	da	da	linguistic	none	_	_	_	_	_	_
8-10	PKP063	8	cinque	cinque	linguistic	none	_	_	_	_	_	_
8-11	PKP063	8	anni	anni	linguistic	none	_	End=16.271	_	_	_	_
9-0	PKP068	9	ambè	ambè	linguistic	none	_	Begin=16.271	_	_	_	_
9-1	PKP068	9	allora	allora	linguistic	none	_	_	_	_	_	_
9-2	PKP068	9	no:	no	linguistic	none	_	End=17.52	1x1	_	_	_
10-0	PKP067	10	eh	eh	linguistic	none	_	Begin=17.53	_	_	_	_
10-1	PKP067	10	non	non	linguistic	none	_	_	_	_	_	_
10-2	PKP067	10	è	è	linguistic	none	_	_	_	_	_	_
10-3	PKP067	10	quello	quello	linguistic	none	_	_	_	_	_	_
10-4	PKP067	10	che	che	linguistic	none	_	_	_	_	_	_
10-5	PKP067	10	dici	dici	linguistic	none	_	_	_	_	_	_
10-6	PKP067	10	te	te	linguistic	none	_	End=18.714	_	_	_	_
11-0	PKP068	11	ma	ma	linguistic	none	_	Begin=18.715	_	_	_	_
11-1	PKP068	11	no	no	linguistic	none	_	End=19.273	_	_	_	_
12-0	PKP063	12	però:	però	linguistic	none	_	Begin=19.273	3x1	_	_	_
12-1	PKP063	12	niente	niente	linguistic	none	_	_	_	_	_	_
12-2	PKP063	12	ha	ha	linguistic	none	_	_	_	_	_	_
12-3	PKP063	12	detto	detto	linguistic	none	_	_	_	_	_	_
12-4	PKP063	12	questi	questi	linguistic	none	_	_	_	_	_	_
12-5	PKP063	12	sta	sta	linguistic	none	_	_	_	_	_	_
12-6	PKP063	12	insieme	insieme	linguistic	none	_	_	_	_	_	_
12-7	PKP063	12	da	da	linguistic	none	_	_	_	_	_	_
12-8	PKP063	12	cinque	cinque	linguistic	none	_	_	_	_	_	_
12-9	PKP063	12	anni	anni	linguistic	none	_	_	_	_	_	_
12-10	PKP063	12	quindi	quindi	linguistic	none	_	_	_	_	_	_
12-11	PKP063	12	se	se	linguistic	none	_	_	_	_	_	_
12-12	PKP063	12	sposano	sposano	linguistic	none	_	_	_	_	_	_
12-13	PKP063	12	ma	ma	linguistic	none	_	_	_	_	_	_
12-14	PKP063	12	lei	lei	linguistic	none	_	_	_	_	_	_
12-15	PKP063	12	è	è	linguistic	none	_	_	_	_	_	_
12-16	PKP063	12	del	del	linguistic	none	_	_	_	_	_	_
12-17	PKP063	12	duemilauno	duemilauno	linguistic	none	_	End=24.554	_	_	_	_
13-0	PKP068	13	me	me	linguistic	none	_	Begin=24.902	_	_	_	_
13-1	PKP068	13	pareva	pareva	linguistic	none	_	_	_	_	_	_
13-2	PKP068	13	de:l	del	linguistic	none	_	_	1x1	_	_	_
13-3	PKP068	13	dumila	dumila	linguistic	none	_	End=26.041	_	_	_	_
14-0	PKP063	14	n[o:]	no	linguistic	none	_	Begin=26.251|End=26.919	1x1	_	_	1-2(1)
15-0	PKP067	15	[va]bbè	vabbè	linguistic	none	_	Begin=26.635	_	_	_	0-2(1)
15-1	PKP067	15	sara	sara	linguistic	none	_	_	_	_	_	_
15-2	PKP067	15	pure	pure	linguistic	none	_	_	_	_	_	_
15-3	PKP067	15	ha	ha	linguistic	none	_	_	_	_	_	_
15-4	PKP067	15	fatto	fatto	linguistic	none	_	_	_	_	_	_
15-5	PKP067	15	~n	~n	linguistic	none	Interrupted=Yes	_	_	_	_	_
15-6	PKP067	15	figlio	figlio	linguistic	none	_	_	_	_	_	_
15-7	PKP067	15	[e:	e	linguistic	none	_	_	0x1	_	_	0-1(2)
15-8	PKP067	15	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	0-3(2)
15-9	PKP067	15	voglio	voglio	linguistic	none	_	_	_	_	_	0-6(2)
15-10	PKP067	15	dì]	dì	linguistic	none	_	End=29.827	_	_	_	0-2(2)
16-0	PKP068	16	[vabbè	vabbè	linguistic	none	_	Begin=28.551	_	_	_	0-5(2)
16-1	PKP068	16	~n	~n	linguistic	none	Interrupted=Yes	_	_	_	_	0-2(2)
16-2	PKP068	16	figlio	figlio	linguistic	none	_	_	_	_	_	0-6(2)
16-3	PKP068	16	dici	dici	linguistic	none	_	_	_	_	_	0-4(2)
16-4	PKP068	16	può	può	linguistic	none	_	_	_	_	_	0-3(2)
16-5	PKP068	16	ca]pità	capità	linguistic	none	_	_	_	_	_	0-2(2)
16-6	PKP068	16	okay	okay	linguistic	none	_	_	_	_	_	_
16-7	PKP068	16	cioè	cioè	linguistic	none	_	_	_	_	_	_
16-8	PKP068	16	m[agari	magari	linguistic	none	_	_	_	_	_	1-6(3)
16-9	PKP068	16	a	a	linguistic	none	_	_	_	_	_	0-1(3)
16-10	PKP068	16	lei	lei	linguistic	none	_	_	_	_	_	0-3(3)
16-11	PKP068	16	non	non	linguistic	none	_	_	_	_	_	0-3(3)
16-12	PKP068	16	è	è	linguistic	none	_	_	_	_	_	0-1(3)
16-13	PKP068	16	capita]to	capitato	linguistic	none	_	_	_	_	_	0-6(3)
16-14	PKP068	16	ma	ma	linguistic	none	_	_	_	_	_	_
16-15	PKP068	16	questo	questo	linguistic	none	_	_	_	_	_	_
16-16	PKP068	16	è	è	linguistic	none	_	_	_	_	_	_
16-17	PKP068	16	deciso	deciso	linguistic	none	_	_	_	_	_	_
16-18	PKP068	16	è	è	linguistic	none	_	_	_	_	_	_
16-19	PKP068	16	voluto	voluto	linguistic	none	_	End=33.24	_	_	_	_
17-0	PKP067	17	[ho	ho	linguistic	none	_	Begin=30.415	_	_	_	0-2(3)
17-1	PKP067	17	capito	capito	linguistic	none	_	_	_	_	_	0-6(3)
17-2	PKP067	17	però	però	linguistic	none	_	_	_	_	_	0-4(3)
17-3	PKP067	17	xx]	x	unknown	none	_	End=31.694	_	_	_	0-2(3)
18-0	PKP063	18	cioè	cioè	linguistic	none	_	Begin=33.27	_	_	_	_
18-1	PKP063	18	s[e	se	linguistic	none	_	_	_	_	_	1-2(541)
18-2	PKP063	18	spo:sa]	sposa	linguistic	none	_	End=34.7	2x1	_	_	0-5(541)
19-0	PKP068	19	[proprio	proprio	linguistic	none	_	Begin=33.885	_	_	_	0-7(541)
19-1	PKP068	19	ce	ce	linguistic	none	_	_	_	_	_	0-2(541)
19-2	PKP068	19	devi	devi	linguistic	none	_	_	_	_	_	0-4(541)
19-3	PKP068	19	ce	ce	linguistic	none	_	_	_	_	_	0-2(541)
19-4	PKP068	19	devi	devi	linguistic	none	_	_	_	_	_	0-4(541)
19-5	PKP068	19	ragionà]	ragionà	linguistic	none	_	End=35.692	_	_	_	0-7(541)
20-0	PKP067	20	[ma	ma	linguistic	none	_	Begin=34.248	_	_	_	0-2(541)
20-1	PKP067	20	da	da	linguistic	none	_	_	_	_	_	0-2(541)
20-2	PKP067	20	come	come	linguistic	none	_	_	_	_	_	0-4(541)
20-3	PKP067	20	m'	m'	linguistic	none	SpaceAfter=No	_	_	_	_	0-2(541)
20-4	PKP067	20	ha	ha	linguistic	none	_	_	_	_	_	0-2(541)
20-5	PKP067	20	detto	detto	linguistic	none	_	_	_	_	_	0-5(541)
20-6	PKP067	20	sara	sara	linguistic	none	_	_	_	_	_	0-4(541)
20-7	PKP067	20	pure	pure	linguistic	none	_	_	_	_	_	0-4(541)
20-8	PKP067	20	pia]	pia	linguistic	none	_	_	_	_	_	0-3(541)
20-9	PKP067	20	è	è	linguistic	none	_	_	_	_	_	_
20-10	PKP067	20	vol[uto	voluto	linguistic	none	_	_	_	_	_	2-6(4)
20-11	PKP067	20	~sso	~sso	linguistic	none	Interrupted=Yes	_	_	_	_	0-4(4)
