token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP039	0	m:	m	linguistic	none	_	Begin=2.74	0x1	_	_	_
0-1	PKP039	0	très	très	linguistic	none	_	_	_	_	_	_
0-2	PKP039	0	jolie	jolie	linguistic	none	_	_	_	_	_	_
0-3	PKP039	0	très	très	linguistic	none	_	_	_	_	_	_
0-4	PKP039	0	jolie	jolie	linguistic	none	_	End=4.32	_	_	_	_
1-0	PKP040	1	francesco	francesco	linguistic	none	_	Begin=10.12	_	_	_	_
1-1	PKP040	1	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
1-2	PKP040	1	hai	hai	linguistic	none	_	_	_	_	_	_
1-3	PKP040	1	sentito?	sentito	linguistic	none	Intonation=Rising	End=11.3	_	_	_	_
2-0	PKP039	2	no	no	linguistic	none	_	Begin=12.23	_	_	_	_
2-1	PKP039	2	a::::	a	linguistic	none	_	_	0x4	_	_	_
2-2	PKP039	2	francesco	francesco	linguistic	none	_	_	_	_	_	_
2-3	PKP039	2	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
2-4	PKP039	2	abbiamo	abbiamo	linguistic	none	_	_	_	_	_	_
2-5	PKP039	2	sen[tito]	sentito	linguistic	none	_	End=14.31	_	_	_	2-7(0)
3-0	PKP041	3	[io::]	io	linguistic	none	_	Begin=14.13|End=14.44	1x2	_	_	0-2(0)
4-0	PKP040	4	[che	che	linguistic	none	_	Begin=16.329	_	_	_	0-3(1)
4-1	PKP040	4	hai	hai	linguistic	none	_	_	_	_	_	0-3(1)
4-2	PKP040	4	fatto	fatto	linguistic	none	_	_	_	_	_	0-5(1)
4-3	PKP040	4	stamattina]?	stamattina	linguistic	none	Intonation=Rising	End=17.49	_	_	_	0-10(1)
5-0	PKP041	5	[e:	e	linguistic	none	_	Begin=16.395	0x1	_	_	0-1(1)
5-1	PKP041	5	ieri]	ieri	linguistic	none	_	End=17.18	_	_	_	0-4(1)
6-0	PKP041	6	io	io	linguistic	none	_	Begin=18.63	_	_	_	_
6-1	PKP041	6	ieri	ieri	linguistic	none	_	_	_	_	_	_
6-2	PKP041	6	l	l	linguistic	none	_	_	_	_	_	_
6-3	PKP041	6	'ho	'ho	linguistic	none	Truncated=Yes	_	_	_	_	_
6-4	PKP041	6	sentito	sentito	linguistic	none	_	_	_	_	_	_
6-5	PKP041	6	francesco	francesco	linguistic	none	_	_	_	_	_	_
6-6	PKP041	6	mi	mi	linguistic	none	_	_	_	_	_	_
6-7	PKP041	6	ha	ha	linguistic	none	_	_	_	_	_	_
6-8	PKP041	6	detto	detto	linguistic	none	_	_	_	_	_	_
6-9	PKP041	6	che::	che	linguistic	none	_	_	2x2	_	_	_
6-10	PKP041	6	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
6-11	PKP041	6	sta	sta	linguistic	none	_	_	_	_	_	_
6-12	PKP041	6	prendendo	prendendo	linguistic	none	_	_	_	_	_	_
6-13	PKP041	6	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
6-14	PKP041	6	iphone	iphone	linguistic	none	_	_	_	_	_	_
6-15	PKP041	6	e	e	linguistic	none	_	_	_	_	_	_
6-16	PKP041	6	che	che	linguistic	none	_	_	_	_	_	_
6-17	PKP041	6	non	non	linguistic	none	_	_	_	_	_	_
6-18	PKP041	6	sa	sa	linguistic	none	_	_	_	_	_	_
6-19	PKP041	6	se:::	se	linguistic	none	_	_	1x3	_	_	_
6-20	PKP041	6	vendere	vendere	linguistic	none	_	_	_	_	_	_
6-21	PKP041	6	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
6-22	PKP041	6	altro	altro	linguistic	none	_	_	_	_	_	_
6-23	PKP041	6	oppure:	oppure	linguistic	none	_	_	5x1	_	_	_
6-24	PKP041	6	regalarlo	regalarlo	linguistic	none	_	_	_	_	_	_
6-25	PKP041	6	a	a	linguistic	none	_	_	_	_	_	_
6-26	PKP041	6	voi	voi	linguistic	none	_	End=29.22	_	_	_	_
7-0	PKP039	7	e	e	linguistic	none	_	Begin=30.21	_	_	_	_
7-1	PKP039	7	quell'	quell'	linguistic	none	SpaceAfter=No	_	_	_	_	_
7-2	PKP039	7	altro	altro	linguistic	none	_	_	_	_	_	_
7-3	PKP039	7	se	se	linguistic	none	_	_	_	_	_	_
7-4	PKP039	7	funziona	funziona	linguistic	none	_	_	_	_	_	_
7-5	PKP039	7	lo	lo	linguistic	none	_	_	_	_	_	_
7-6	PKP039	7	vende	vende	linguistic	none	_	_	_	_	_	_
7-7	PKP039	7	a	a	linguistic	none	_	_	_	_	_	_
7-8	PKP039	7	me	me	linguistic	none	_	End=32.27	_	_	_	_
8-0	PKP041	8	io	io	linguistic	none	_	Begin=32.7	_	_	_	_
8-1	PKP041	8	gli	gli	linguistic	none	_	_	_	_	_	_
8-2	PKP041	8	ho	ho	linguistic	none	_	_	_	_	_	_
8-3	PKP041	8	detto	detto	linguistic	none	_	_	_	_	_	_
8-4	PKP041	8	che	che	linguistic	none	_	_	_	_	_	_
8-5	PKP041	8	non	non	linguistic	none	_	_	_	_	_	_
8-6	PKP041	8	so	so	linguistic	none	_	_	_	_	_	_
8-7	PKP041	8	se	se	linguistic	none	_	_	_	_	_	_
8-8	PKP041	8	era	era	linguistic	none	_	_	_	_	_	_
8-9	PKP041	8	molto:::	molto	linguistic	none	_	_	4x3	_	_	_
8-10	PKP041	8	[utile]	utile	linguistic	none	_	End=36.0	_	_	_	0-5(2)
9-0	PKP039	9	[il	il	linguistic	none	_	Begin=35.62	_	_	_	0-2(2)
9-1	PKP039	9	pi	pi	linguistic	none	_	_	_	_	_	0-2(2)
9-2	PKP039	9	ven]ti	venti	linguistic	none	_	_	_	_	_	0-3(2)
9-3	PKP039	9	il	il	linguistic	none	_	_	_	_	_	_
9-4	PKP039	9	pi	pi	linguistic	none	_	_	_	_	_	_
9-5	PKP039	9	venti	venti	linguistic	none	_	_	_	_	_	_
9-6	PKP039	9	è	è	linguistic	none	_	_	_	_	_	_
9-7	PKP039	9	super[iore]	superiore	linguistic	none	_	End=37.3	_	_	_	5-9(3)
10-0	PKP040	10	[no::][l'	nol'	linguistic	none	SpaceAfter=No	Begin=36.97	1x2	_	_	0-2(3),2-4(4)
10-1	PKP040	10	altro	altro	linguistic	none	_	_	_	_	_	0-5(4)
10-2	PKP040	10	che	che	linguistic	none	_	_	_	_	_	0-3(4)
10-3	PKP040	10	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	0-2(4)
10-4	PKP040	10	ha]	ha	linguistic	none	_	_	_	_	_	0-1(4)
10-5	PKP040	10	quello	quello	linguistic	none	_	_	_	_	_	_
10-6	PKP040	10	che	che	linguistic	none	_	_	_	_	_	_
10-7	PKP040	10	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
10-8	PKP040	10	ha	ha	linguistic	none	_	End=39.1	_	_	_	_
11-0	PKP041	11	[no	no	linguistic	none	_	Begin=37.89	_	_	_	0-2(4)
11-1	PKP041	11	il	il	linguistic	none	_	_	_	_	_	0-2(4)
11-2	PKP041	11	sette]	sette	linguistic	none	_	End=38.81	_	_	_	0-5(4)
12-0	PKP039	12	a:::	a	linguistic	none	_	Begin=39.12|End=39.46	0x3	_	_	_
13-0	PKP040	13	ha	ha	linguistic	none	_	Begin=41.167	_	_	_	_
13-1	PKP040	13	detto	detto	linguistic	none	_	_	_	_	_	_
13-2	PKP040	13	che	che	linguistic	none	_	_	_	_	_	_
13-3	PKP040	13	se	se	linguistic	none	_	_	_	_	_	_
13-4	PKP040	13	lo	lo	linguistic	none	_	_	_	_	_	_
13-5	PKP040	13	voleva	voleva	linguistic	none	_	_	_	_	_	_
13-6	PKP040	13	vendere	vendere	linguistic	none	_	_	_	_	_	_
13-7	PKP040	13	ho	ho	linguistic	none	_	_	_	_	_	_
13-8	PKP040	13	detto	detto	linguistic	none	_	_	_	_	_	_
13-9	PKP040	13	venditelo	venditelo	linguistic	none	_	_	_	_	_	_
13-10	PKP040	13	no?	no	linguistic	none	Intonation=Rising	End=43.19	_	_	_	_
14-0	PKP041	14	infatti	infatti	linguistic	none	_	Begin=43.52	_	_	_	_
14-1	PKP041	14	io	io	linguistic	none	_	_	_	_	_	_
14-2	PKP041	14	[quello	quello	linguistic	none	_	_	_	_	_	0-6(5)
14-3	PKP041	14	ho	ho	linguistic	none	_	_	_	_	_	0-2(5)
14-4	PKP041	14	detto]	detto	linguistic	none	_	End=44.87	_	_	_	0-5(5)
15-0	PKP040	15	[perché	perché	linguistic	none	_	Begin=43.99	_	_	_	0-6(5)
15-1	PKP040	15	per	per	linguistic	none	_	_	_	_	_	0-3(5)
15-2	PKP040	15	pa]pà:	papà	linguistic	none	_	_	3x1	_	_	0-2(5)
15-3	PKP040	15	cioè	cioè	linguistic	none	_	_	_	_	_	_
15-4	PKP040	15	tu	tu	linguistic	none	_	_	_	_	_	_
15-5	PKP040	15	dovresti	dovresti	linguistic	none	_	_	_	_	_	_
15-6	PKP040	15	cambiarlo	cambiarlo	linguistic	none	_	_	_	_	_	_
15-7	PKP040	15	pà	pà	linguistic	none	_	_	_	_	_	_
15-8	PKP040	15	però:	però	linguistic	none	_	End=46.83	3x1	_	_	_
16-0	PKP039	16	si	si	linguistic	none	_	Begin=48.01	_	_	_	_
16-1	PKP039	16	se	se	linguistic	none	_	_	_	_	_	_
16-2	PKP039	16	è	è	linguistic	none	_	_	_	_	_	_
16-3	PKP039	16	più	più	linguistic	none	_	_	_	_	_	_
16-4	PKP039	16	piccolo	piccolo	linguistic	none	_	End=49.06	_	_	_	_
17-0	PKP040	17	tu	tu	linguistic	none	_	Begin=49.37	_	_	_	_
17-1	PKP040	17	vuoi	vuoi	linguistic	none	_	_	_	_	_	_
17-2	PKP040	17	il	il	linguistic	none	_	_	_	_	_	_
17-3	PKP040	17	dual	dual	linguistic	none	_	_	_	_	_	_
17-4	PKP040	17	sim	sim	linguistic	none	_	End=50.35	_	_	_	_
