token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP094	0	~gari	~gari	linguistic	none	Interrupted=Yes	Begin=0.01|End=0.53	_	_	_	_
1-0	PKP094	1	vuoi	vuoi	linguistic	none	_	Begin=0.633	_	_	_	_
1-1	PKP094	1	andare	andare	linguistic	none	_	_	_	_	_	_
1-2	PKP094	1	su:	su	linguistic	none	_	End=1.943	1x1	_	_	_
2-0	PKP056	2	in	in	linguistic	none	_	Begin=2.169	_	_	_	_
2-1	PKP056	2	mansa[rda]	mansarda	linguistic	none	_	End=3.239	_	_	_	5-8(527)
3-0	PKP093	3	[in	in	linguistic	none	_	Begin=2.943	_	_	_	0-2(527)
3-1	PKP093	3	piccionaia]	piccionaia	linguistic	none	_	End=3.985	_	_	_	0-10(527)
4-0	PKP094	4	[in	in	linguistic	none	_	Begin=2.971	_	_	_	0-2(527)
4-1	PKP094	4	mansarda]	mansarda	linguistic	none	_	_	_	_	_	0-8(527)
4-2	PKP094	4	eh	eh	linguistic	none	_	End=4.338	_	_	_	_
5-0	PKP094	5	lì	lì	linguistic	none	_	Begin=4.633	_	_	_	_
5-1	PKP094	5	forse	forse	linguistic	none	_	_	_	_	_	_
5-2	PKP094	5	staresti	staresti	linguistic	none	_	_	_	_	_	_
5-3	PKP094	5	meglio	meglio	linguistic	none	_	_	_	_	_	_
5-4	PKP094	5	eh	eh	linguistic	none	_	_	_	_	_	_
5-5	PKP094	5	secondo	secondo	linguistic	none	_	_	_	_	_	_
5-6	PKP094	5	me	me	linguistic	none	_	End=6.605	_	_	_	_
6-0	PKP093	6	quando	quando	linguistic	none	_	Begin=6.816	_	_	_	_
6-1	PKP093	6	avrò	avrò	linguistic	none	_	_	_	_	_	_
6-2	PKP093	6	una	una	linguistic	none	_	_	_	_	_	_
6-3	PKP093	6	camera	camera	linguistic	none	_	_	_	_	_	_
6-4	PKP093	6	mia	mia	linguistic	none	_	_	_	_	_	_
6-5	PKP093	6	con	con	linguistic	none	_	_	_	_	_	_
6-6	PKP093	6	ta[nto	tanto	linguistic	none	_	_	_	_	_	2-5(0)
6-7	PKP093	6	di	di	linguistic	none	_	_	_	_	_	0-2(0)
6-8	PKP093	6	scrivania]	scrivania	linguistic	none	_	End=9.394	_	_	_	0-9(0)
7-0	PKP094	7	[sì	sì	linguistic	none	_	Begin=8.45	_	_	_	0-2(0)
7-1	PKP094	7	lo	lo	linguistic	none	_	_	_	_	_	0-2(0)
7-2	PKP094	7	so]	so	linguistic	none	_	_	_	_	_	0-2(0)
7-3	PKP094	7	ma	ma	linguistic	none	_	_	_	_	_	_
7-4	PKP094	7	nel	nel	linguistic	none	_	_	_	_	_	_
7-5	PKP094	7	frattempo	frattempo	linguistic	none	_	_	_	_	_	_
7-6	PKP094	7	volendo	volendo	linguistic	none	_	_	_	_	_	_
7-7	PKP094	7	anche	anche	linguistic	none	_	_	_	_	_	_
7-8	PKP094	7	ci	ci	linguistic	none	_	_	_	_	_	_
7-9	PKP094	7	potresti	potresti	linguistic	none	_	_	_	_	_	_
7-10	PKP094	7	andare	andare	linguistic	none	_	_	_	_	_	_
7-11	PKP094	7	lì	lì	linguistic	none	_	_	_	_	_	_
7-12	PKP094	7	la	la	linguistic	none	_	_	_	_	_	_
7-13	PKP094	7	sera	sera	linguistic	none	_	_	_	_	_	_
7-14	PKP094	7	potresti	potresti	linguistic	none	_	_	_	_	_	_
7-15	PKP094	7	anche:	anche	linguistic	none	_	_	4x1	_	_	_
7-16	PKP094	7	studiare	studiare	linguistic	none	_	_	_	_	_	_
7-17	PKP094	7	qui	qui	linguistic	none	_	_	_	_	_	_
7-18	PKP094	7	che	che	linguistic	none	_	_	_	_	_	_
7-19	PKP094	7	nessuno:	nessuno	linguistic	none	_	_	6x1	_	_	_
7-20	PKP094	7	ti	ti	linguistic	none	_	_	_	_	_	_
7-21	PKP094	7	rompe	rompe	linguistic	none	_	_	_	_	_	_
7-22	PKP094	7	i	i	linguistic	none	_	_	_	_	_	_
7-23	PKP094	7	coglioni	coglioni	linguistic	none	_	_	_	_	_	_
7-24	PKP094	7	[eh].	eh	linguistic	none	Intonation=Falling	End=17.9	_	_	_	0-2(1)
8-0	PKP093	8	[sì]	sì	linguistic	none	_	Begin=17.84	_	_	_	0-2(1)
8-1	PKP093	8	ma	ma	linguistic	none	_	_	_	_	_	_
8-2	PKP093	8	tanto	tanto	linguistic	none	_	_	_	_	_	_
8-3	PKP093	8	poi	poi	linguistic	none	_	_	_	_	_	_
8-4	PKP093	8	entrare	entrare	linguistic	none	_	_	_	_	_	_
8-5	PKP093	8	(è	è	linguistic	none	_	_	_	_	0-1(0)	_
8-6	PKP093	8	tutto	tutto	linguistic	none	_	_	_	_	0-5(0)	_
8-7	PKP093	8	un)	un	linguistic	none	_	_	_	_	0-2(0)	_
8-8	PKP093	8	entra	entra	linguistic	none	_	_	_	_	_	_
8-9	PKP093	8	e	e	linguistic	none	_	_	_	_	_	_
8-10	PKP093	8	esci	esci	linguistic	none	_	_	_	_	_	_
8-11	PKP093	8	e:	e	linguistic	none	_	End=21.453	0x1	_	_	_
9-0	PKP094	9	o	o	linguistic	none	_	Begin=22.04	_	_	_	_
9-1	PKP094	9	se	se	linguistic	none	_	_	_	_	_	_
9-2	PKP094	9	no	no	linguistic	none	_	_	_	_	_	_
9-3	PKP094	9	lassù:	lassù	linguistic	none	_	_	4x1	_	_	_
9-4	PKP094	9	nello	nello	linguistic	none	_	_	_	_	_	_
9-5	PKP094	9	studio	studio	linguistic	none	_	_	_	_	_	_
9-6	PKP094	9	con	con	linguistic	none	_	_	_	_	_	_
9-7	PKP094	9	me,	me	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
9-8	PKP094	9	[ci]	ci	linguistic	none	_	_	_	_	_	0-2(?)
9-9	PKP094	9	sta	sta	linguistic	none	_	_	_	_	_	_
9-10	PKP094	9	eh	eh	linguistic	none	_	_	_	_	_	_
9-11	PKP094	9	tutti	tutti	linguistic	none	_	_	_	_	_	_
9-12	PKP094	9	e	e	linguistic	none	_	_	_	_	_	_
9-13	PKP094	9	due	due	linguistic	none	_	_	_	_	_	_
9-14	PKP094	9	[eh]	eh	linguistic	none	_	End=26.78	_	_	_	0-2(?)
10-0	PKP093	10	[no::]	no	linguistic	none	_	Begin=25.7	1x2	_	_	0-2(?)
10-1	PKP093	10	[ma]	ma	linguistic	none	_	_	_	_	_	0-2(?)
10-2	PKP093	10	io	io	linguistic	none	_	_	_	_	_	_
10-3	PKP093	10	mi	mi	linguistic	none	_	_	_	_	_	_
10-4	PKP093	10	metto	metto	linguistic	none	_	_	_	_	_	_
10-5	PKP093	10	lì	lì	linguistic	none	_	_	_	_	_	_
10-6	PKP093	10	sopra	sopra	linguistic	none	_	_	_	_	_	_
10-7	PKP093	10	xx	x	unknown	none	_	End=28.55	_	_	_	_
11-0	PKP056	11	la	la	linguistic	none	_	Begin=30.03	_	_	_	_
11-1	PKP056	11	caterina?	caterina	linguistic	none	Intonation=Rising	End=31.1	_	_	_	_
12-0	PKP094	12	caterina	caterina	linguistic	none	_	Begin=31.756	_	_	_	_
12-1	PKP094	12	dopo	dopo	linguistic	none	_	_	_	_	_	_
12-2	PKP094	12	le	le	linguistic	none	_	_	_	_	_	_
12-3	PKP094	12	nove	nove	linguistic	none	_	_	_	_	_	_
12-4	PKP094	12	e	e	linguistic	none	_	_	_	_	_	_
12-5	PKP094	12	mezzo	mezzo	linguistic	none	_	_	_	_	_	_
12-6	PKP094	12	[viene]	viene	linguistic	none	_	_	_	_	_	0-5(3)
12-7	PKP094	12	xxx	x	unknown	none	_	_	_	_	_	_
12-8	PKP094	12	ha	ha	linguistic	none	_	_	_	_	_	_
12-9	PKP094	12	detto	detto	linguistic	none	_	_	_	_	_	_
12-10	PKP094	12	mi	mi	linguistic	none	_	_	_	_	_	_
12-11	PKP094	12	chiama:	chiama	linguistic	none	_	_	5x1	_	_	_
12-12	PKP094	12	tocca	tocca	linguistic	none	_	_	_	_	_	_
12-13	PKP094	12	a	a	linguistic	none	_	_	_	_	_	_
12-14	PKP094	12	stare	stare	linguistic	none	_	_	_	_	_	_
12-15	PKP094	12	lì	lì	linguistic	none	_	_	_	_	_	_
12-16	PKP094	12	a	a	linguistic	none	_	_	_	_	_	_
12-17	PKP094	12	aspettarla	aspettarla	linguistic	none	_	_	_	_	_	_
12-18	PKP094	12	tutte	tutte	linguistic	none	_	_	_	_	_	_
12-19	PKP094	12	le	le	linguistic	none	_	_	_	_	_	_
12-20	PKP094	12	volte	volte	linguistic	none	_	_	_	_	_	_
12-21	PKP094	12	che	che	linguistic	none	_	_	_	_	_	_
12-22	PKP094	12	[due]	due	linguistic	none	_	End=38.76	_	_	_	0-3(4)
13-0	PKP056	13	[mh]	mh	linguistic	none	_	Begin=33.093|End=33.213	_	_	_	0-2(3)
14-0	PKP056	14	[xxx]	x	unknown	none	_	Begin=37.593|End=37.953	_	_	_	0-3(4)
15-0	PKP094	15	no	no	linguistic	none	_	Begin=39.62	_	_	_	_
15-1	PKP094	15	no	no	linguistic	none	_	_	_	_	_	_
