token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP025	0	faccio	faccio	linguistic	none	_	Begin=2.84	_	_	_	_
0-1	PKP025	0	il	il	linguistic	none	_	_	_	_	_	_
0-2	PKP025	0	tè	tè	linguistic	none	_	End=3.54	_	_	_	_
1-0	PKP026	1	(°allora°)	allora	linguistic	none	Volume=Low	Begin=5.31|End=5.74	_	_	0-6(0)	_
2-0	PKP025	2	[accendo]?	accendo	linguistic	none	Intonation=Rising	Begin=7.67|End=8.55	_	_	_	0-7(0)
3-0	PKP026	3	[va	va	linguistic	none	_	Begin=7.67	_	_	_	0-2(0)
3-1	PKP026	3	bene]	bene	linguistic	none	_	End=8.542	_	_	_	0-4(0)
4-0	PKP026	4	ci	ci	linguistic	none	_	Begin=10.41	_	_	_	_
4-1	PKP026	4	fermiamo	fermiamo	linguistic	none	_	_	_	_	_	_
4-2	PKP026	4	un	un	linguistic	none	_	_	_	_	_	_
4-3	PKP026	4	attimo	attimo	linguistic	none	_	_	_	_	_	_
4-4	PKP026	4	e	e	linguistic	none	_	_	_	_	_	_
4-5	PKP026	4	prendiamo	prendiamo	linguistic	none	_	_	_	_	_	_
4-6	PKP026	4	il	il	linguistic	none	_	_	_	_	_	_
4-7	PKP026	4	tè	tè	linguistic	none	_	_	_	_	_	_
4-8	PKP026	4	e	e	linguistic	none	_	_	_	_	_	_
4-9	PKP026	4	la	la	linguistic	none	_	_	_	_	_	_
4-10	PKP026	4	tisana	tisana	linguistic	none	_	End=12.724	_	_	_	_
5-0	PKP025	5	(tè)	tè	linguistic	none	_	Begin=13.69|End=14.304	_	_	0-2(0)	_
6-0	PKP025	6	((accende_il_gas))	((accende_il_gas))	nonverbalbehavior	none	_	Begin=14.382|End=17.441	_	_	_	_
7-0	PKP026	7	vai	vai	linguistic	none	_	Begin=14.997|End=15.571	_	_	_	_
8-0	PKP025	8	lo	lo	linguistic	none	_	Begin=18.029	_	_	_	_
8-1	PKP025	8	zucchero	zucchero	linguistic	none	_	_	_	_	_	_
8-2	PKP025	8	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
8-3	PKP025	8	è?	è	linguistic	none	Intonation=Rising	End=18.981	_	_	_	_
9-0	PKP026	9	sì	sì	linguistic	none	_	Begin=19.01|End=19.641	_	_	_	_
10-0	PKP025	10	questo?	questo	linguistic	none	Intonation=Rising	Begin=21.45|End=22.19	_	_	_	_
11-0	PKP026	11	sì	sì	linguistic	none	_	Begin=22.895|End=23.384	_	_	_	_
12-0	PKP025	12	te	te	linguistic	none	_	Begin=27.7	_	_	_	_
12-1	PKP025	12	come	come	linguistic	none	_	_	_	_	_	_
12-2	PKP025	12	la	la	linguistic	none	_	_	_	_	_	_
12-3	PKP025	12	vuoi	vuoi	linguistic	none	_	End=28.48	_	_	_	_
13-0	PKP026	13	quella	quella	linguistic	none	_	Begin=29.79	_	_	_	_
13-1	PKP026	13	al	al	linguistic	none	_	_	_	_	_	_
13-2	PKP026	13	caffè	caffè	linguistic	none	_	_	_	_	_	_
13-3	PKP026	13	e	e	linguistic	none	_	_	_	_	_	_
13-4	PKP026	13	amaretto	amaretto	linguistic	none	_	End=31.388	_	_	_	_
14-0	PKP025	14	<caffè	caffè	linguistic	none	_	Begin=32.406	_	Slow=0-5	_	_
14-1	PKP025	14	e	e	linguistic	none	_	_	_	Slow=0-1	_	_
14-2	PKP025	14	amarett[o]>	amaretto	linguistic	none	_	End=33.784	_	Slow=0-8	_	7-8(1)
15-0	PKP026	15	[mh]	mh	linguistic	none	_	Begin=33.645	_	_	_	0-2(1)
15-1	PKP026	15	mh	mh	linguistic	none	_	End=34.06	_	_	_	_
16-0	PKP025	16	io?	io	linguistic	none	Intonation=Rising	Begin=36.417|End=36.826	_	_	_	_
17-0	PKP025	17	[limone]	limone	linguistic	none	_	Begin=37.871|End=38.48	_	_	_	0-6(2)
18-0	PKP026	18	[tè	tè	linguistic	none	_	Begin=37.871	_	_	_	0-2(2)
18-1	PKP026	18	al	al	linguistic	none	_	_	_	_	_	0-2(2)
18-2	PKP026	18	limo]ne	limone	linguistic	none	_	End=38.87	_	_	_	0-4(2)
19-0	PKP025	19	#voi	voi	linguistic	some	_	Begin=44.22	_	_	_	_
19-1	PKP025	19	co	co	linguistic	some	_	_	_	_	_	_
19-2	PKP025	19	fate	fate	linguistic	some	_	_	_	_	_	_
19-3	PKP025	19	sabato	sabato	linguistic	some	_	End=45.593	_	_	_	_
20-0	PKP026	20	sabato:	sabato	linguistic	none	_	Begin=46.896	5x1	_	_	_
20-1	PKP026	20	<ho	ho	linguistic	none	_	_	_	Slow=0-2	_	_
20-2	PKP026	20	prenotato:>	prenotato	linguistic	none	_	_	8x1	Slow=0-9	_	_
20-3	PKP026	20	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
20-4	PKP026	20	in	in	linguistic	none	_	_	_	_	_	_
20-5	PKP026	20	un	un	linguistic	none	_	_	_	_	_	_
20-6	PKP026	20	ristorante	ristorante	linguistic	none	_	_	_	_	_	_
20-7	PKP026	20	che	che	linguistic	none	_	_	_	_	_	_
20-8	PKP026	20	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
20-9	PKP026	20	è	è	linguistic	none	_	_	_	_	_	_
20-10	PKP026	20	una	una	linguistic	none	_	_	_	_	_	_
20-11	PKP026	20	cena,	cena	linguistic	none	Intonation=WeaklyRising	End=51.89	_	_	_	_
21-0	PKP025	21	dove	dove	linguistic	none	_	Begin=52.338|End=52.76	_	_	_	_
22-0	PKP026	22	e::h	eh	linguistic	none	_	Begin=52.77	0x2	_	_	_
22-1	PKP026	22	a	a	linguistic	none	_	_	_	_	_	_
22-2	PKP026	22	senigallia,	senigallia	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
22-3	PKP026	22	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
22-4	PKP026	22	è	è	linguistic	none	_	_	_	_	_	_
22-5	PKP026	22	la	la	linguistic	none	_	_	_	_	_	_
22-6	PKP026	22	cena	cena	linguistic	none	_	_	_	_	_	_
22-7	PKP026	22	con	con	linguistic	none	_	_	_	_	_	_
22-8	PKP026	22	il	il	linguistic	none	_	_	_	_	_	_
22-9	PKP026	22	dj	dj	linguistic	none	_	_	_	_	_	_
22-10	PKP026	22	e	e	linguistic	none	_	_	_	_	_	_
22-11	PKP026	22	volendo:	volendo	linguistic	none	_	_	6x1	_	_	_
22-12	PKP026	22	ti	ti	linguistic	none	_	_	_	_	_	_
22-13	PKP026	22	puoi	puoi	linguistic	none	_	_	_	_	_	_
22-14	PKP026	22	mascherare,	mascherare	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
22-15	PKP026	22	è	è	linguistic	none	_	_	_	_	_	_
22-16	PKP026	22	il	il	linguistic	none	_	_	_	_	_	_
22-17	PKP026	22	sabato	sabato	linguistic	none	_	_	_	_	_	_
22-18	PKP026	22	di	di	linguistic	none	_	_	_	_	_	_
22-19	PKP026	22	carneval[e]	carnevale	linguistic	none	_	End=59.189	_	_	_	7-9(3)
23-0	PKP025	23	[ma]	ma	linguistic	none	_	Begin=59.034	_	_	_	0-2(3)
23-1	PKP025	23	dove	dove	linguistic	none	_	End=59.65	_	_	_	_
24-0	PKP026	24	a	a	linguistic	none	_	Begin=59.864	_	_	_	_
24-1	PKP026	24	senigallia:::	senigallia	linguistic	none	_	_	9x3	_	_	_
24-2	PKP026	24	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
24-3	PKP026	24	verso	verso	linguistic	none	_	_	_	_	_	_
24-4	PKP026	24	sant'	sant'	linguistic	none	SpaceAfter=No	_	_	_	_	_
24-5	PKP026	24	angelo	angelo	linguistic	none	_	End=63.602	_	_	_	_
25-0	PKP025	25	che	che	linguistic	none	_	Begin=65.23	_	_	_	_
25-1	PKP025	25	ristorante	ristorante	linguistic	none	_	End=66.19	_	_	_	_
26-0	PKP026	26	si	si	linguistic	none	_	Begin=66.483	_	_	_	_
26-1	PKP026	26	chiama	chiama	linguistic	none	_	_	_	_	_	_
26-2	PKP026	26	il	il	linguistic	none	_	_	_	_	_	_
26-3	PKP026	26	°freccia	freccia	linguistic	none	Volume=Low	_	_	_	_	_
26-4	PKP026	26	azzurra°	azzurra	linguistic	none	Volume=Low	End=68.08	_	_	_	_
27-0	PKP025	27	°freccia	freccia	linguistic	none	Volume=Low	Begin=68.141	_	_	_	_
27-1	PKP025	27	azzurra°	azzurra	linguistic	none	Volume=Low	End=69.4	_	_	_	_
28-0	PKP025	28	allora	allora	linguistic	none	_	Begin=70.895	_	_	_	_
28-1	PKP025	28	io	io	linguistic	none	_	_	_	_	_	_
28-2	PKP025	28	domenica	domenica	linguistic	none	_	_	_	_	_	_
28-3	PKP025	28	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
28-4	PKP025	28	me	me	linguistic	none	_	_	_	_	_	_
28-5	PKP025	28	devo	devo	linguistic	none	_	_	_	_	_	_
28-6	PKP025	28	sveglia'	sveglia'	linguistic	none	Truncated=Yes	_	_	_	_	_
28-7	PKP025	28	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
28-8	PKP025	28	quindi	quindi	linguistic	none	_	End=76.17	_	_	_	_
29-0	PKP026	29	c'	c'	linguistic	none	SpaceAfter=No	Begin=76.17	_	_	_	_
29-1	PKP026	29	hai	hai	linguistic	none	_	_	_	_	_	_
29-2	PKP026	29	il	il	linguistic	none	_	_	_	_	_	_
29-3	PKP026	29	matrimonio	matrimonio	linguistic	none	_	End=77.105	_	_	_	_
30-0	PKP025	30	matrimonio	matrimonio	linguistic	none	_	Begin=77.147|End=77.82	_	_	_	_
31-0	PKP026	31	quindi	quindi	linguistic	none	_	Begin=78.949	_	_	_	_
31-1	PKP026	31	sabato	sabato	linguistic	none	_	_	_	_	_	_
31-2	PKP026	31	sera	sera	linguistic	none	_	_	_	_	_	_
31-3	PKP026	31	come::	come	linguistic	none	_	_	3x2	_	_	_
31-4	PKP026	31	vi	vi	linguistic	none	_	_	_	_	_	_
31-5	PKP026	31	organizzate	organizzate	linguistic	none	_	End=81.67	_	_	_	_
32-0	PKP025	32	allora	allora	linguistic	none	_	Begin=82.707	_	_	_	_
32-1	PKP025	32	se	se	linguistic	none	_	_	_	_	_	_
32-2	PKP025	32	io	io	linguistic	none	_	_	_	_	_	_
32-3	PKP025	32	al	al	linguistic	none	_	_	_	_	_	_
32-4	PKP025	32	non	non	linguistic	none	_	_	_	_	_	_
32-5	PKP025	32	so	so	linguistic	none	_	_	_	_	_	_
32-6	PKP025	32	neanche	neanche	linguistic	none	_	_	_	_	_	_
32-7	PKP025	32	a	a	linguistic	none	_	_	_	_	_	_
32-8	PKP025	32	che	che	linguistic	none	_	_	_	_	_	_
32-9	PKP025	32	ora:	ora	linguistic	none	_	_	2x1	_	_	_
32-10	PKP025	32	è	è	linguistic	none	_	_	_	_	_	_
32-11	PKP025	32	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
32-12	PKP025	32	se	se	linguistic	none	_	_	_	_	_	_
32-13	PKP025	32	è	è	linguistic	none	_	_	_	_	_	_
32-14	PKP025	32	alle	alle	linguistic	none	_	_	_	_	_	_
32-15	PKP025	32	dieci	dieci	linguistic	none	_	_	_	_	_	_
32-16	PKP025	32	io	io	linguistic	none	_	_	_	_	_	_
32-17	PKP025	32	bisogna	bisogna	linguistic	none	_	_	_	_	_	_
32-18	PKP025	32	che:	che	linguistic	none	_	_	2x1	_	_	_
32-19	PKP025	32	sabato:	sabato	linguistic	none	_	_	5x1	_	_	_
32-20	PKP025	32	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
32-21	PKP025	32	boh	boh	linguistic	none	_	_	_	_	_	_
32-22	PKP025	32	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
32-23	PKP025	32	andrò	andrò	linguistic	none	_	_	_	_	_	_
32-24	PKP025	32	a	a	linguistic	none	_	_	_	_	_	_
32-25	PKP025	32	cena	cena	linguistic	none	_	End=90.93	_	_	_	_
33-0	PKP026	33	ma	ma	linguistic	none	_	Begin=90.943	_	_	_	_
33-1	PKP026	33	è	è	linguistic	none	_	_	_	_	_	_
33-2	PKP026	33	il	il	linguistic	none	_	_	_	_	_	_
33-3	PKP026	33	sabato	sabato	linguistic	none	_	_	_	_	_	_
33-4	PKP026	33	di	di	linguistic	none	_	_	_	_	_	_
33-5	PKP026	33	carneva:le	carnevale	linguistic	none	_	End=92.68	6x1	_	_	_
34-0	PKP025	34	°eh°	eh	linguistic	none	Volume=Low	Begin=92.78	_	_	_	_
34-1	PKP025	34	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
34-2	PKP025	34	ho	ho	linguistic	none	_	_	_	_	_	_
34-3	PKP025	34	il	il	linguistic	none	_	_	_	_	_	_
34-4	PKP025	34	MATRIMONIO	matrimonio	linguistic	none	Volume=High	_	_	_	_	_
34-5	PKP025	34	il	il	linguistic	none	_	_	_	_	_	_
34-6	PKP025	34	gi[orno	giorno	linguistic	none	_	_	_	_	_	1-6(4)
34-7	PKP025	34	dopo]	dopo	linguistic	none	_	End=95.0	_	_	_	0-4(4)
35-0	PKP026	35	[è	è	linguistic	none	_	Begin=94.345	_	_	_	0-1(4)
35-1	PKP026	35	bella	bella	linguistic	none	_	_	_	_	_	0-5(4)
35-2	PKP026	35	(u)na	una	linguistic	none	_	_	_	_	0-1(0)	0-3(4)
35-3	PKP026	35	c]ena	cena	linguistic	none	_	_	_	_	_	0-1(4)
35-4	PKP026	35	>co(n)	con	linguistic	none	_	_	_	Fast=0-3	2-3(1)	_
35-5	PKP026	35	(u)n	un	linguistic	none	_	_	_	Fast=0-2	0-1(2)	_
35-6	PKP026	35	po'	po'	linguistic	none	_	_	_	Fast=0-3	_	_
35-7	PKP026	35	di<	di	linguistic	none	_	_	_	Fast=0-2	_	_
35-8	PKP026	35	mu:sica	musica	linguistic	none	_	End=96.663	1x1	_	_	_
36-0	PKP026	36	per	per	linguistic	none	_	Begin=97.179	_	_	_	_
36-1	PKP026	36	far	far	linguistic	none	_	_	_	_	_	_
36-2	PKP026	36	[qualcosa]	qualcosa	linguistic	none	_	End=98.44	_	_	_	0-8(5)
37-0	PKP025	37	[ma	ma	linguistic	none	_	Begin=97.446	_	_	_	0-2(5)
37-1	PKP025	37	la	la	linguistic	none	_	_	_	_	_	0-2(5)
37-2	PKP025	37	cena]	cena	linguistic	none	_	End=98.44	_	_	_	0-4(5)
38-0	PKP025	38	se	se	linguistic	none	_	Begin=98.768	_	_	_	_
38-1	PKP025	38	è	è	linguistic	none	_	_	_	_	_	_
38-2	PKP025	38	(i)l	il	linguistic	none	_	_	_	_	0-1(0)	_
38-3	PKP025	38	miù	miù	linguistic	none	_	End=99.758	_	_	_	_
39-0	PKP026	39	mah::	mah	linguistic	none	_	Begin=100.588|End=101.321	2x2	_	_	_
40-0	PKP025	40	>eh	eh	linguistic	none	_	Begin=101.979	_	Fast=0-2	_	_
40-1	PKP025	40	tanto<	tanto	linguistic	none	_	_	_	Fast=0-5	_	_
40-2	PKP025	40	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
40-3	PKP025	40	o	o	linguistic	none	_	_	_	_	_	_
40-4	PKP025	40	il	il	linguistic	none	_	_	_	_	_	_
40-5	PKP025	40	tris	tris	linguistic	none	_	_	_	_	_	_
40-6	PKP025	40	vanno	vanno	linguistic	none	_	_	_	_	_	_
40-7	PKP025	40	tutti	tutti	linguistic	none	_	_	_	_	_	_
40-8	PKP025	40	al	al	linguistic	none	_	_	_	_	_	_
40-9	PKP025	40	tris	tris	linguistic	none	_	End=104.596	_	_	_	_
41-0	PKP026	41	il	il	linguistic	none	_	Begin=104.592	_	_	_	_
41-1	PKP026	41	tris	tris	linguistic	none	_	_	_	_	_	_
41-2	PKP026	41	è	è	linguistic	none	_	_	_	_	_	_
41-3	PKP026	41	proprio	proprio	linguistic	none	_	_	_	_	_	_
41-4	PKP026	41	discoteca	discoteca	linguistic	none	_	_	_	_	_	_
41-5	PKP026	41	no[n	non	linguistic	none	_	_	_	_	_	2-3(6)
41-6	PKP026	41	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	0-2(6)
41-7	PKP026	41	è	è	linguistic	none	_	_	_	_	_	0-1(6)
41-8	PKP026	41	la]	la	linguistic	none	_	_	_	_	_	0-2(6)
41-9	PKP026	41	cena	cena	linguistic	none	_	End=106.813	_	_	_	_
42-0	PKP025	42	[lo	lo	linguistic	none	_	Begin=106.04	_	_	_	0-2(7)
