token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP052	0	((ride))	((ride))	nonverbalbehavior	none	_	Begin=3.01|End=5.0	_	_	_	_
1-0	PKP043	1	>quanto	quanto	linguistic	none	_	Begin=11.0	_	Fast=0-6	_	_
1-1	PKP043	1	ci	ci	linguistic	none	_	_	_	Fast=0-2	_	_
1-2	PKP043	1	metton~	metton~	linguistic	none	Interrupted=Yes	_	_	Fast=0-7	_	_
1-3	PKP043	1	le	le	linguistic	none	_	_	_	Fast=0-2	_	_
1-4	PKP043	1	cose	cose	linguistic	none	_	_	_	Fast=0-4	_	_
1-5	PKP043	1	a	a	linguistic	none	_	_	_	Fast=0-1	_	_
1-6	PKP043	1	cuocersi<	cuocersi	linguistic	none	_	End=12.42	_	Fast=0-8	_	_
2-0	PKP052	2	cosa	cosa	linguistic	none	_	Begin=13.005|End=13.505	_	_	_	_
3-0	PKP043	3	>e:	e	linguistic	none	_	Begin=13.715	0x1	Fast=0-1	_	_
3-1	PKP043	3	i	i	linguistic	none	_	_	_	Fast=0-1	_	_
3-2	PKP043	3	cosi	cosi	linguistic	none	_	_	_	Fast=0-4	_	_
3-3	PKP043	3	a:	a	linguistic	none	_	_	0x1	Fast=0-1	_	_
3-4	PKP043	3	vegetariani<	vegetariani	linguistic	none	_	End=16.225	_	Fast=0-11	_	_
4-0	PKP052	4	poco	poco	linguistic	none	_	Begin=16.99	_	_	_	_
4-1	PKP052	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-2	PKP052	4	se	se	linguistic	none	_	_	_	_	_	_
4-3	PKP052	4	mi	mi	linguistic	none	_	_	_	_	_	_
4-4	PKP052	4	stai	stai	linguistic	none	_	_	_	_	_	_
4-5	PKP052	4	facendo	facendo	linguistic	none	_	_	_	_	_	_
4-6	PKP052	4	xxx	x	unknown	none	_	End=18.97	_	_	_	_
5-0	PKP053	5	cosi	cosi	linguistic	none	_	Begin=18.725	_	_	_	_
5-1	PKP053	5	con	con	linguistic	none	_	_	_	_	_	_
5-2	PKP053	5	la	la	linguistic	none	_	_	_	_	_	_
5-3	PKP053	5	cipolla	cipolla	linguistic	none	_	End=20.594	_	_	_	_
6-0	PKP043	6	spero	spero	linguistic	none	_	Begin=20.7	_	_	_	_
6-1	PKP043	6	che	che	linguistic	none	_	_	_	_	_	_
6-2	PKP043	6	non	non	linguistic	none	_	_	_	_	_	_
6-3	PKP043	6	ci	ci	linguistic	none	_	_	_	_	_	_
6-4	PKP043	6	sia	sia	linguistic	none	_	_	_	_	_	_
6-5	PKP043	6	cipolla	cipolla	linguistic	none	_	_	_	_	_	_
6-6	PKP043	6	che	che	linguistic	none	_	_	_	_	_	_
6-7	PKP043	6	se	se	linguistic	none	_	_	_	_	_	_
6-8	PKP043	6	no:	no	linguistic	none	_	End=22.212	1x1	_	_	_
7-0	PKP053	7	che	che	linguistic	none	_	Begin=22.212	_	_	_	_
7-1	PKP053	7	sentivo	sentivo	linguistic	none	_	_	_	_	_	_
7-2	PKP053	7	una	una	linguistic	none	_	_	_	_	_	_
7-3	PKP053	7	puzza	puzza	linguistic	none	_	_	_	_	_	_
7-4	PKP053	7	di	di	linguistic	none	_	_	_	_	_	_
7-5	PKP053	7	no:	no	linguistic	none	_	End=24.096	1x1	_	_	_
8-0	PKP043	8	[noo:	noo	linguistic	none	_	Begin=24.004	2x1	_	_	0-3(81)
8-1	PKP043	8	è	è	linguistic	none	_	_	_	_	_	0-1(81)
8-2	PKP043	8	un	un	linguistic	none	_	_	_	_	_	0-2(81)
8-3	PKP043	8	(sugo)della	sugodella	linguistic	none	_	_	_	_	0-4(0)	0-9(81)
8-4	PKP043	8	mamma]	mamma	linguistic	none	_	End=26.034	_	_	_	0-5(81)
9-0	PKP052	9	[noo:	noo	linguistic	none	_	Begin=24.004	2x1	_	_	0-3(81)
9-1	PKP052	9	è	è	linguistic	none	_	_	_	_	_	0-1(81)
9-2	PKP052	9	un	un	linguistic	none	_	_	_	_	_	0-2(81)
9-3	PKP052	9	sugo	sugo	linguistic	none	_	_	_	_	_	0-4(81)
