token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP065	0	TOM	tom	linguistic	none	Volume=High	Begin=4.41|End=4.88	_	_	_	_
1-0	PKP065	1	dicevo	dicevo	linguistic	none	_	Begin=6.26	_	_	_	_
1-1	PKP065	1	che	che	linguistic	none	_	_	_	_	_	_
1-2	PKP065	1	lunedì	lunedì	linguistic	none	_	_	_	_	_	_
1-3	PKP065	1	è	è	linguistic	none	_	_	_	_	_	_
1-4	PKP065	1	di	di	linguistic	none	_	_	_	_	_	_
1-5	PKP065	1	f~	f~	linguistic	none	Interrupted=Yes	_	_	_	_	_
1-6	PKP065	1	turno	turno	linguistic	none	_	_	_	_	_	_
1-7	PKP065	1	l~	l~	linguistic	none	Interrupted=Yes	_	_	_	_	_
1-8	PKP065	1	farmacia	farmacia	linguistic	none	_	_	_	_	_	_
1-9	PKP065	1	qua	qua	linguistic	none	_	_	_	_	_	_
1-10	PKP065	1	in	in	linguistic	none	_	_	_	_	_	_
1-11	PKP065	1	@nomeluogo	@nomeluogo	anonymized	none	_	End=11.056	_	_	_	_
2-0	PKP065	2	quindi	quindi	linguistic	none	_	Begin=11.06	_	_	_	_
2-1	PKP065	2	bisognerebbe	bisognerebbe	linguistic	none	_	_	_	_	_	_
2-2	PKP065	2	passarci	passarci	linguistic	none	_	_	_	_	_	_
2-3	PKP065	2	o	o	linguistic	none	_	_	_	_	_	_
2-4	PKP065	2	chiamare	chiamare	linguistic	none	_	_	_	_	_	_
2-5	PKP065	2	sentire	sentire	linguistic	none	_	_	_	_	_	_
2-6	PKP065	2	se	se	linguistic	none	_	_	_	_	_	_
2-7	PKP065	2	li	li	linguistic	none	_	_	_	_	_	_
2-8	PKP065	2	fanno	fanno	linguistic	none	_	_	_	_	_	_
2-9	PKP065	2	anche	anche	linguistic	none	_	_	_	_	_	_
2-10	PKP065	2	lunedì	lunedì	linguistic	none	_	_	_	_	_	_
2-11	PKP065	2	mattina	mattina	linguistic	none	_	_	_	_	_	_
2-12	PKP065	2	festivo	festivo	linguistic	none	_	_	_	_	_	_
2-13	PKP065	2	i	i	linguistic	none	_	_	_	_	_	_
2-14	PKP065	2	tamponi,	tamponi	linguistic	none	Intonation=WeaklyRising	End=16.825	_	_	_	_
3-0	PKP065	3	in	in	linguistic	none	_	Begin=17.27	_	_	_	_
3-1	PKP065	3	modo	modo	linguistic	none	_	_	_	_	_	_
3-2	PKP065	3	che	che	linguistic	none	_	_	_	_	_	_
3-3	PKP065	3	invece	invece	linguistic	none	_	_	_	_	_	_
3-4	PKP065	3	di	di	linguistic	none	_	_	_	_	_	_
3-5	PKP065	3	farlo	farlo	linguistic	none	_	_	_	_	_	_
3-6	PKP065	3	domenica:	domenica	linguistic	none	_	_	7x1	_	_	_
3-7	PKP065	3	lo	lo	linguistic	none	_	_	_	_	_	_
3-8	PKP065	3	fa	fa	linguistic	none	_	End=19.68	_	_	_	_
4-0	PKP065	4	non	non	linguistic	none	_	Begin=20.11	_	_	_	_
4-1	PKP065	4	so	so	linguistic	none	_	_	_	_	_	_
4-2	PKP065	4	se	se	linguistic	none	_	_	_	_	_	_
4-3	PKP065	4	ci	ci	linguistic	none	_	_	_	_	_	_
4-4	PKP065	4	può	può	linguistic	none	_	_	_	_	_	_
4-5	PKP065	4	essere	essere	linguistic	none	_	_	_	_	_	_
4-6	PKP065	4	più	più	linguistic	none	_	_	_	_	_	_
4-7	PKP065	4	gente	gente	linguistic	none	_	End=21.85	_	_	_	_
5-0	PKP065	5	ovviamente	ovviamente	linguistic	none	_	Begin=22.51	_	_	_	_
5-1	PKP065	5	perché	perché	linguistic	none	_	_	_	_	_	_
5-2	PKP065	5	lunedì	lunedì	linguistic	none	_	_	_	_	_	_
5-3	PKP065	5	è	è	linguistic	none	_	_	_	_	_	_
5-4	PKP065	5	festivo	festivo	linguistic	none	_	_	_	_	_	_
5-5	PKP065	5	quindi	quindi	linguistic	none	_	End=24.37	_	_	_	_
6-0	PKP065	6	e	e	linguistic	none	_	Begin=26.76	_	_	_	_
6-1	PKP065	6	lo	lo	linguistic	none	_	_	_	_	_	_
6-2	PKP065	6	fa	fa	linguistic	none	_	_	_	_	_	_
6-3	PKP065	6	((schiarisce_la_voce))	((schiarisce_la_voce))	nonverbalbehavior	none	_	_	_	_	_	_
6-4	PKP065	6	per	per	linguistic	none	_	_	_	_	_	_
6-5	PKP065	6	andare	andare	linguistic	none	_	_	_	_	_	_
6-6	PKP065	6	a	a	linguistic	none	_	_	_	_	_	_
6-7	PKP065	6	lavorare	lavorare	linguistic	none	_	End=30.742	_	_	_	_
7-0	PKP065	7	se	se	linguistic	none	_	Begin=39.51	_	_	_	_
7-1	PKP065	7	no,	no	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
7-2	PKP065	7	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
7-3	PKP065	7	ehm:	ehm	linguistic	none	_	_	2x1	_	_	_
7-4	PKP065	7	domenica	domenica	linguistic	none	_	_	_	_	_	_
7-5	PKP065	7	è	è	linguistic	none	_	_	_	_	_	_
7-6	PKP065	7	di	di	linguistic	none	_	_	_	_	_	_
7-7	PKP065	7	turno	turno	linguistic	none	_	_	_	_	_	_
7-8	PKP065	7	quella	quella	linguistic	none	_	_	_	_	_	_
7-9	PKP065	7	a	a	linguistic	none	_	_	_	_	_	_
7-10	PKP065	7	colle	colle	linguistic	none	_	_	_	_	_	_
7-11	PKP065	7	paradiso	paradiso	linguistic	none	_	_	_	_	_	_
7-12	PKP065	7	che	che	linguistic	none	_	_	_	_	_	_
7-13	PKP065	7	sai	sai	linguistic	none	_	_	_	_	_	_
7-14	PKP065	7	dov'	dov'	linguistic	none	SpaceAfter=No	_	_	_	_	_
7-15	PKP065	7	è?	è	linguistic	none	Intonation=Rising	End=44.455	_	_	_	_
8-0	PKP063	8	no	no	linguistic	none	_	Begin=44.538|End=44.932	_	_	_	_
9-0	PKP065	9	è	è	linguistic	none	_	Begin=45.25	_	_	_	_
9-1	PKP065	9	la	la	linguistic	none	_	_	_	_	_	_
9-2	PKP065	9	salita	salita	linguistic	none	_	_	_	_	_	_
9-3	PKP065	9	per	per	linguistic	none	_	_	_	_	_	_
9-4	PKP065	9	andare	andare	linguistic	none	_	_	_	_	_	_
9-5	PKP065	9	al	al	linguistic	none	_	_	_	_	_	_
9-6	PKP065	9	leopardi,	leopardi	linguistic	none	Intonation=WeaklyRising	End=47.281	_	_	_	_
10-0	PKP063	10	ah	ah	linguistic	none	_	Begin=47.31	_	_	_	_
10-1	PKP063	10	ah	ah	linguistic	none	_	End=47.774	_	_	_	_
11-0	PKP065	11	dove	dove	linguistic	none	_	Begin=47.777	_	_	_	_
11-1	PKP065	11	prima	prima	linguistic	none	_	_	_	_	_	_
11-2	PKP065	11	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
11-3	PKP065	11	era	era	linguistic	none	_	_	_	_	_	_
11-4	PKP065	11	il	il	linguistic	none	_	_	_	_	_	_
11-5	PKP065	11	supermercato,	supermercato	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
11-6	PKP065	11	poi	poi	linguistic	none	_	_	_	_	_	_
11-7	PKP065	11	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
11-8	PKP065	11	era	era	linguistic	none	_	_	_	_	_	_
11-9	PKP065	11	la	la	linguistic	none	_	_	_	_	_	_
11-10	PKP065	11	pizzeria:	pizzeria	linguistic	none	_	_	7x1	_	_	_
11-11	PKP065	11	e	e	linguistic	none	_	_	_	_	_	_
11-12	PKP065	11	adesso	adesso	linguistic	none	_	_	_	_	_	_
11-13	PKP065	11	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
11-14	PKP065	11	ha	ha	linguistic	none	_	_	_	_	_	_
11-15	PKP065	11	aperto	aperto	linguistic	none	_	_	_	_	_	_
11-16	PKP065	11	la	la	linguistic	none	_	_	_	_	_	_
11-17	PKP065	11	farmacia	farmacia	linguistic	none	_	End=52.102	_	_	_	_
12-0	PKP064	12	prima	prima	linguistic	none	_	Begin=52.114	_	_	_	_
12-1	PKP064	12	della	della	linguistic	none	_	_	_	_	_	_
12-2	PKP064	12	scuola	scuola	linguistic	none	_	_	_	_	_	_
12-3	PKP064	12	[su]lla	sulla	linguistic	none	_	_	_	_	_	0-2(0)
12-4	PKP064	12	sinistra	sinistra	linguistic	none	_	End=53.681	_	_	_	_
13-0	PKP065	13	[eh]	eh	linguistic	none	_	Begin=52.842|End=53.203	_	_	_	0-2(0)
14-0	PKP065	14	sulla	sulla	linguistic	none	_	Begin=53.672	_	_	_	_
14-1	PKP065	14	salita	salita	linguistic	none	_	_	_	_	_	_
14-2	PKP065	14	pri[ma:]	prima	linguistic	none	_	End=55.124	4x1	_	_	3-5(1)
15-0	PKP063	15	[que]lla	quella	linguistic	none	_	Begin=54.013	_	_	_	0-3(2)
15-1	PKP063	15	davanti	davanti	linguistic	none	_	_	_	_	_	_
15-2	PKP063	15	alla	alla	linguistic	none	_	_	_	_	_	_
15-3	PKP063	15	pizzeri[a:]	pizzeria	linguistic	none	_	End=55.857	7x1	_	_	7-8(182)
16-0	PKP064	16	[eh]	eh	linguistic	none	_	Begin=55.52|End=55.917	_	_	_	0-2(182)
17-0	PKP065	17	[es]atto	esatto	linguistic	none	_	Begin=55.533|End=56.214	_	_	_	0-2(182)
18-0	PKP063	18	ah:	ah	linguistic	none	_	Begin=56.268	1x1	_	_	_
18-1	PKP063	18	sì	sì	linguistic	none	_	End=57.272	_	_	_	_
19-0	PKP063	19	la	la	linguistic	none	_	Begin=61.01	_	_	_	_
19-1	PKP063	19	pizzeria	pizzeria	linguistic	none	_	_	_	_	_	_
19-2	PKP063	19	si	si	linguistic	none	_	_	_	_	_	_
19-3	PKP063	19	chiama	chiama	linguistic	none	_	_	_	_	_	_
19-4	PKP063	19	tipo	tipo	linguistic	none	_	_	_	_	_	_
19-5	PKP063	19	le	le	linguistic	none	_	_	_	_	_	_
19-6	PKP063	19	mura?	mura	linguistic	none	Intonation=Rising	End=63.383	_	_	_	_
20-0	PKP065	20	m[h]:	mh	linguistic	none	_	Begin=64.171|End=65.075	1x1	_	_	1-2(3)
21-0	PKP064	21	[boh]	boh	linguistic	none	_	Begin=64.489|End=64.858	_	_	_	0-3(3)
22-0	PKP063	22	ah	ah	linguistic	none	_	Begin=65.93	_	_	_	_
22-1	PKP063	22	ma	ma	linguistic	none	_	_	_	_	_	_
22-2	PKP063	22	quella	quella	linguistic	none	_	_	_	_	_	_
22-3	PKP063	22	che	che	linguistic	none	_	_	_	_	_	_
22-4	PKP063	22	però	però	linguistic	none	_	_	_	_	_	_
22-5	PKP063	22	è	è	linguistic	none	_	_	_	_	_	_
22-6	PKP063	22	durante	durante	linguistic	none	_	_	_	_	_	_
22-7	PKP063	22	la	la	linguistic	none	_	_	_	_	_	_
22-8	PKP063	22	salita	salita	linguistic	none	_	End=68.03	_	_	_	_
23-0	PKP064	23	comunque	comunque	linguistic	none	_	Begin=68.65	_	_	_	_
23-1	PKP064	23	abbiamo	abbiamo	linguistic	none	_	_	_	_	_	_
23-2	PKP064	23	scoperto	scoperto	linguistic	none	_	_	_	_	_	_
23-3	PKP064	23	cosa	cosa	linguistic	none	_	_	_	_	_	_
23-4	PKP064	23	significa	significa	linguistic	none	_	_	_	_	_	_
23-5	PKP064	23	stare	stare	linguistic	none	_	_	_	_	_	_
23-6	PKP064	23	a	a	linguistic	none	_	_	_	_	_	_
23-7	PKP064	23	jesi	jesi	linguistic	none	_	_	_	_	_	_
23-8	PKP064	23	la	la	linguistic	none	_	_	_	_	_	_
23-9	PKP064	23	settimana	settimana	linguistic	none	_	_	_	_	_	_
23-10	PKP064	23	prima	prima	linguistic	none	_	End=72.882	_	_	_	_
24-0	PKP064	24	di	di	linguistic	none	_	Begin=74.23	_	_	_	_
24-1	PKP064	24	ferragosto	ferragosto	linguistic	none	_	End=75.738	_	_	_	_
25-0	PKP064	25	a	a	linguistic	none	_	Begin=76.31	_	_	_	_
25-1	PKP064	25	prende~	prende~	linguistic	none	Interrupted=Yes	_	_	_	_	_
25-2	PKP064	25	la	la	linguistic	none	_	_	_	_	_	_
25-3	PKP064	25	pizza	pizza	linguistic	none	_	_	_	_	_	_
25-4	PKP064	25	quanto	quanto	linguistic	none	_	_	_	_	_	_
25-5	PKP064	25	abbiamo	abbiamo	linguistic	none	_	_	_	_	_	_
25-6	PKP064	25	girato?	girato	linguistic	none	Intonation=Rising	_	_	_	_	_
25-7	PKP064	25	tutto	tutto	linguistic	none	_	_	_	_	_	_
25-8	PKP064	25	chiu~	chiu~	linguistic	none	Interrupted=Yes	_	_	_	_	_
25-9	PKP064	25	tutti	tutti	linguistic	none	_	_	_	_	_	_
25-10	PKP064	25	chiusi	chiusi	linguistic	none	_	_	_	_	_	_
25-11	PKP064	25	(no)n	non	linguistic	none	_	_	_	_	0-2(0)	_
25-12	PKP064	25	ce	ce	linguistic	none	_	_	_	_	_	_
25-13	PKP064	25	n'	n'	linguistic	none	SpaceAfter=No	_	_	_	_	_
25-14	PKP064	25	era	era	linguistic	none	_	_	_	_	_	_
25-15	PKP064	25	uno	uno	linguistic	none	_	_	_	_	_	_
25-16	PKP064	25	aperto	aperto	linguistic	none	_	End=81.681	_	_	_	_
26-0	PKP063	26	c'	c'	linguistic	none	SpaceAfter=No	Begin=82.35	_	_	_	_
26-1	PKP063	26	ero	ero	linguistic	none	_	_	_	_	_	_
26-2	PKP063	26	pur	pur	linguistic	none	_	_	_	_	_	_
26-3	PKP063	26	io	io	linguistic	none	_	End=83.309	_	_	_	_
27-0	PKP065	27	ah	ah	linguistic	none	_	Begin=85.43	_	_	_	_
27-1	PKP065	27	sì?	sì	linguistic	none	Intonation=Rising	End=86.348	_	_	_	_
28-0	PKP063	28	ma	ma	linguistic	none	_	Begin=86.884	_	_	_	_
28-1	PKP063	28	va:	va	linguistic	none	_	End=87.741	1x1	_	_	_
29-0	PKP065	29	(chi)ssà	chissà	linguistic	none	_	Begin=88.79	_	_	0-3(0)	_
29-1	PKP065	29	com'	com'	linguistic	none	SpaceAfter=No	_	_	_	_	_
29-2	PKP065	29	è	è	linguistic	none	_	_	_	_	_	_
29-3	PKP065	29	eravamo	eravamo	linguistic	none	_	_	_	_	_	_
29-4	PKP065	29	qua	qua	linguistic	none	_	End=90.472	_	_	_	_
30-0	PKP063	30	mh	mh	linguistic	none	_	Begin=90.54|End=91.21	_	_	_	_
31-0	PKP063	31	vabbè	vabbè	linguistic	none	_	Begin=93.13	_	_	_	_
31-1	PKP063	31	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
31-2	PKP063	31	è	è	linguistic	none	_	_	_	_	_	_
31-3	PKP063	31	stato	stato	linguistic	none	_	_	_	_	_	_
31-4	PKP063	31	solo	solo	linguistic	none	_	_	_	_	_	_
31-5	PKP063	31	un	un	linguistic	none	_	_	_	_	_	_
31-6	PKP063	31	anno	anno	linguistic	none	_	End=95.195	_	_	_	_
32-0	PKP064	32	speria[mo]	speriamo	linguistic	none	_	Begin=95.737|End=96.461	_	_	_	6-8(4)
33-0	PKP065	33	[x]xx	x	unknown	none	_	Begin=96.262|End=97.009	_	_	_	0-1(4)
34-0	PKP063	34	vabbè	vabbè	linguistic	none	_	Begin=101.687	_	_	_	_
34-1	PKP063	34	comu:nque	comunque	linguistic	none	_	End=102.973	3x1	_	_	_
35-0	PKP063	35	dopo	dopo	linguistic	none	_	Begin=104.047	_	_	_	_
35-1	PKP063	35	vado	vado	linguistic	none	_	_	_	_	_	_
35-2	PKP063	35	da	da	linguistic	none	_	_	_	_	_	_
35-3	PKP063	35	nonna	nonna	linguistic	none	_	_	_	_	_	_
35-4	PKP063	35	ce~	ce~	linguistic	none	Interrupted=Yes	_	_	_	_	_
35-5	PKP063	35	p	p	linguistic	none	_	_	_	_	_	_
35-6	PKP063	35	se	se	linguistic	none	_	_	_	_	_	_
35-7	PKP063	35	ce	ce	linguistic	none	_	_	_	_	_	_
35-8	PKP063	35	vado	vado	linguistic	none	_	_	_	_	_	_
