token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP127	0	ue	ue	linguistic	none	_	Begin=3.258|End=3.57	_	_	_	_
1-0	PKP126	1	°thank	thank	linguistic	none	Volume=Low	Begin=6.314	_	_	_	_
1-1	PKP126	1	you°	you	linguistic	none	Volume=Low	End=6.602	_	_	_	_
2-0	PKP126	2	meglio	meglio	linguistic	none	_	Begin=15.446	_	_	_	_
2-1	PKP126	2	col	col	linguistic	none	_	_	_	_	_	_
2-2	PKP126	2	sale?	sale	linguistic	none	Intonation=Rising	End=16.16	_	_	_	_
3-0	PKP127	3	eh	eh	linguistic	none	_	Begin=17.624	_	_	_	_
3-1	PKP127	3	sì	sì	linguistic	none	_	End=18.005	_	_	_	_
4-0	PKP126	4	verso?	verso	linguistic	none	Intonation=Rising	Begin=19.649|End=19.955	_	_	_	_
5-0	PKP125	5	sì	sì	linguistic	none	_	Begin=20.702	_	_	_	_
5-1	PKP125	5	grazie	grazie	linguistic	none	_	End=21.405	_	_	_	_
6-0	PKP127	6	((ride))	((ride))	nonverbalbehavior	none	_	Begin=22.087|End=22.696	_	_	_	_
7-0	PKP126	7	tu	tu	linguistic	none	_	Begin=23.057	_	_	_	_
7-1	PKP126	7	vuoi	vuoi	linguistic	none	_	_	_	_	_	_
7-2	PKP126	7	rosa	rosa	linguistic	none	_	_	_	_	_	_
7-3	PKP126	7	un	un	linguistic	none	_	_	_	_	_	_
7-4	PKP126	7	po'	po'	linguistic	none	_	_	_	_	_	_
7-5	PKP126	7	di	di	linguistic	none	_	_	_	_	_	_
7-6	PKP126	7	vi~?	vi~	linguistic	none	Intonation=Rising	End=24.001	_	_	_	_
8-0	PKP127	8	no	no	linguistic	none	_	Begin=24.011	_	_	_	_
8-1	PKP127	8	grazie	grazie	linguistic	none	_	_	_	_	_	_
8-2	PKP127	8	amo'	amo'	linguistic	none	Truncated=Yes	End=24.687	_	_	_	_
9-0	PKP126	9	un	un	linguistic	none	_	Begin=24.76	_	_	_	_
9-1	PKP126	9	bicchierino	bicchierino	linguistic	none	_	_	_	_	_	_
9-2	PKP126	9	così	così	linguistic	none	_	_	_	_	_	_
9-3	PKP126	9	no?	no	linguistic	none	Intonation=Rising	End=25.915	_	_	_	_
10-0	PKP126	10	per	per	linguistic	none	_	Begin=26.469	_	_	_	_
10-1	PKP126	10	fare	fare	linguistic	none	_	_	_	_	_	_
10-2	PKP126	10	compagnia?	compagnia	linguistic	none	Intonation=Rising	End=27.42	_	_	_	_
11-0	PKP127	11	no:	no	linguistic	none	_	Begin=27.573	1x1	_	_	_
11-1	PKP127	11	mo	mo	linguistic	none	_	_	_	_	_	_
11-2	PKP127	11	no	no	linguistic	none	_	_	_	_	_	_
11-3	PKP127	11	magari	magari	linguistic	none	_	_	_	_	_	_
11-4	PKP127	11	durante	durante	linguistic	none	_	_	_	_	_	_
